DAE,DAE_Dynamic_TYPE_LIGHTNING,features_amounts
0.9164389760936198,0.9149555308030253,19
0.9142332031481735,0.9128855029436334,18
0.9108820318375367,0.9118238281067645,17
0.9087117851962307,0.9078316846232646,16
0.9035439366501793,0.9050324779401897,15
0.9030069836713006,0.896161317250541,14
0.8945972889625866,0.8901936342812673,13
0.892082761538467,0.8922801420948243,12
0.8797066653756669,0.8827735122131563,11
0.8772478943207773,0.8829776343885086,10
0.8707102798678588,0.8676432023976025,9
0.8730323621288226,0.8565149561065434,8
0.854770173943213,0.854056565012951,7
0.8350373223952628,0.8427048563530359,6
0.8101910037929624,0.8338317979651013,5
0.7969419067418512,0.7811027862137891,4
0.7618982624929862,0.7568855216605003,3
0.6827722266940246,0.6832402886201532,2
0.6344929229854102,0.6068719437074173,1
