DAE,DAE_Dynamic_TYPE_LIGHTNING,features_amounts
0.9707685280310276,0.9566069589621462,60
0.9707391396017714,0.9567614911807777,59
0.9704501791827047,0.9566181465391341,58
0.9699570216587553,0.9563026161271784,57
0.9701165030732636,0.9559531497760775,56
0.9706461083648656,0.9557691447604425,55
0.9697900919447451,0.956942493220733,54
0.9706002092000221,0.9564442468597925,53
0.9704779889620518,0.9564409889951625,52
0.9699928235038874,0.9568290214057684,51
0.969739201191343,0.9568207433815681,50
0.9697177314154217,0.9547502266655314,49
0.9667706562024991,0.9557963510996537,48
0.9689780149114503,0.9540221594792365,47
0.9681706883753339,0.9527745595434247,46
0.9677443909793088,0.9534315788095545,45
0.9672789583812513,0.9544010959504309,44
0.9678794707695582,0.953585145442101,43
0.968388763019823,0.9537673429651102,42
0.967993678433397,0.9551643083214701,41
0.9676951795045856,0.9525232805590529,40
0.9669650088920163,0.9539804052934053,39
0.9672357697671033,0.9552077374771344,38
0.9661183214570819,0.9512493404934285,37
0.9657434876726221,0.9524698560317276,36
0.9666088255843279,0.9492969716902943,35
0.9651265093947362,0.9482492197180428,34
0.9631778378651669,0.9467290485478216,33
0.9646154342988031,0.950873683730061,32
0.9636821007479679,0.9472075815440004,31
0.9638111903630513,0.9496538349348789,30
0.9613957089197523,0.9477443449265979,29
0.9601371637311958,0.9471075291807078,28
0.9593555332343356,0.9450065075275516,27
0.9635128862265324,0.9423742161782446,26
0.958039634937388,0.9447023645543826,25
0.9580465871460507,0.9396134287273663,24
0.9555751389159914,0.9378241714834911,23
0.9555202451856302,0.9376501555532452,22
0.9499081136386488,0.9368072701992091,21
0.9513718373005379,0.9388248159003885,20
0.9478618886855316,0.9222722629596933,19
0.9489648861590558,0.9279375470129416,18
0.9400569348806165,0.9312240032418598,17
0.9472439187775095,0.9251292698861425,16
0.938672519157857,0.9300508111107744,15
0.9363511013118749,0.909934994487339,14
0.9285107216862732,0.9088893665051258,13
0.928921854638158,0.9067359138272723,12
0.9328856788503787,0.9232832178847238,11
0.9118195988595652,0.8979188586445244,10
0.9201343106787927,0.9021427925942728,9
0.8932757099702417,0.8956300418216123,8
0.8675280134364343,0.8938595490373231,7
0.9037961831580097,0.8587757054921585,6
0.8311941373629013,0.8668831827864715,5
0.8310400264453642,0.8486740594430348,4
0.8035199167697854,0.7781877057798979,3
0.7410820959942955,0.7240657338174857,2
0.6024784781187827,0.624771233636918,1
