num_features,DenoisingGraphEncoder
36,0.559
35,0.5566
34,0.55525
33,0.55395
32,0.5519999999999999
31,0.5438000000000001
30,0.5534000000000001
29,0.5531499999999999
28,0.5465500000000001
27,0.5516500000000001
26,0.5508
25,0.5525
24,0.55215
23,0.5484000000000001
22,0.54965
21,0.5464499999999999
20,0.5461000000000001
19,0.5471
18,0.5468
17,0.546
16,0.5458000000000001
15,0.53855
14,0.5460999999999999
13,0.5432
12,0.5448999999999999
11,0.54205
10,0.5445
9,0.54055
8,0.5373
7,0.54165
6,0.53165
5,0.5357000000000001
4,0.5263000000000001
3,0.541
2,0.52785
1,0.5363999999999999
