num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
19,0.8529411764705882,0.8151260504201681,0.8151260504201681,0.8655462184873951,0.8781512605042018,0.9159663865546218,0.9201680672268907,0.8823529411764707,0.8655462184873951,0.9243697478991597
18,0.7903361344537815,0.8218487394957983,0.8168067226890756,0.8588235294117647,0.8747899159663867,0.911764705882353,0.8991596638655462,0.8701680672268909,0.8378151260504202,0.9159663865546219
17,0.8042016806722689,0.8222689075630252,0.8205882352941176,0.85,0.8617647058823531,0.8689075630252102,0.8903361344537816,0.8512605042016806,0.7911764705882353,0.8932773109243698
16,0.7571428571428571,0.8214285714285714,0.8033613445378152,0.8474789915966386,0.8420168067226891,0.8668067226890758,0.8798319327731091,0.8163865546218488,0.746218487394958,0.8798319327731093
15,0.7243697478991598,0.8189075630252101,0.8121848739495798,0.8365546218487394,0.838235294117647,0.865126050420168,0.8558823529411764,0.8088235294117647,0.7815126050420168,0.8336134453781513
14,0.6634453781512605,0.8092436974789916,0.7718487394957982,0.8369747899159663,0.8151260504201681,0.807563025210084,0.8273109243697478,0.8138655462184874,0.7042016806722688,0.8390756302521009
13,0.6655462184873949,0.8214285714285714,0.7827731092436975,0.8281512605042016,0.7928571428571428,0.8344537815126051,0.8243697478991596,0.7882352941176471,0.7071428571428571,0.811344537815126
12,0.6109243697478991,0.8159663865546218,0.7777310924369747,0.8214285714285714,0.8063025210084034,0.8134453781512605,0.7781512605042016,0.780672268907563,0.7033613445378151,0.8205882352941176
11,0.6789915966386555,0.7991596638655463,0.757563025210084,0.8235294117647058,0.7848739495798318,0.7592436974789916,0.8239495798319327,0.7071428571428571,0.6361344537815125,0.8012605042016807
10,0.6987394957983193,0.7915966386554623,0.7596638655462185,0.7857142857142857,0.7117647058823529,0.7054621848739495,0.8063025210084034,0.7100840336134453,0.6563025210084034,0.7336134453781512
9,0.6378151260504202,0.7378151260504201,0.7630252100840336,0.7815126050420168,0.7298319327731092,0.7361344537815125,0.7953781512605043,0.6932773109243697,0.6701680672268908,0.7789915966386554
8,0.5903361344537814,0.7029411764705882,0.7260504201680673,0.7831932773109244,0.7147058823529411,0.6819327731092437,0.7588235294117648,0.6911764705882353,0.6273109243697479,0.6831932773109244
7,0.6588235294117647,0.7554621848739496,0.6878151260504202,0.7920168067226891,0.7327731092436974,0.6466386554621849,0.6668067226890757,0.7399159663865547,0.5747899159663866,0.7697478991596638
6,0.6373949579831932,0.7415966386554622,0.7033613445378151,0.7668067226890757,0.6508403361344539,0.6193277310924369,0.6470588235294118,0.6827731092436975,0.6109243697478992,0.7210084033613446
5,0.5857142857142856,0.6647058823529413,0.6823529411764706,0.7415966386554622,0.5970588235294116,0.5995798319327731,0.6197478991596639,0.6920168067226891,0.692436974789916,0.6840336134453782
4,0.5697478991596638,0.6907563025210083,0.6033613445378151,0.7100840336134453,0.6453781512605041,0.5588235294117647,0.6369747899159663,0.5995798319327731,0.6533613445378151,0.6273109243697478
3,0.5894957983193276,0.6470588235294118,0.6508403361344538,0.6361344537815126,0.5861344537815125,0.5890756302521007,0.5756302521008403,0.6142857142857142,0.576890756302521,0.5890756302521007
2,0.6092436974789915,0.622689075630252,0.5785714285714285,0.6201680672268909,0.6067226890756302,0.588235294117647,0.6180672268907562,0.5466386554621849,0.5756302521008403,0.5819327731092436
1,0.6100840336134453,0.603781512605042,0.5315126050420168,0.623109243697479,0.5857142857142856,0.5596638655462185,0.5579831932773109,0.5336134453781513,0.5491596638655463,0.5546218487394958
