DAE,DAE_Dynamic_TYPE_LIGHTNING,features_amounts
0.7694374592047935,0.6817159464287496,24
0.7652863360717151,0.6775635188444362,23
0.7633970452130938,0.6781771903671565,22
0.7582904457293379,0.6690550232859704,21
0.7560591699876517,0.6640371985835666,20
0.7481031317617346,0.6586383300333992,19
0.7466348755740653,0.6663815869454048,18
0.7416097512821025,0.6677425089556097,17
0.7347754802928972,0.6571650811836548,16
0.7334727287398646,0.6650654624738174,15
0.7225456191930513,0.6502700890103891,14
0.7143011326577327,0.6586565510157618,13
0.7114738503785368,0.6476924490892367,12
0.7104934326964203,0.6503976137196773,11
0.7108369559974426,0.646246855216351,10
0.7014203152710323,0.6437473238761493,9
0.7074144277272706,0.6371766323658055,8
0.690891806989533,0.6450946771884707,7
0.6386651837071892,0.6316022788875257,6
0.6465731379112635,0.6248225353265673,5
0.6184874002719201,0.6014382221052523,4
0.6177389297651377,0.6100355026005763,3
0.5752779446912568,0.5566423865192125,2
0.5647260706748446,0.5476773724264635,1
