num_features,CompleteRandomForest,XGB,DenoisingGraphEncoder,DAE,RandomForest,AdaBoost,LGBM
24,0.7317073170731707,0.6829268292682926,0.6504065040650406,0.5691056910569106,0.7398373983739839,0.7479674796747967,0.7398373983739839
23,0.7146341463414634,0.6796747967479675,0.6455284552845528,0.5707317073170731,0.7162601626016262,0.7170731707317073,0.7276422764227644
22,0.7081300813008131,0.651219512195122,0.6065040650406506,0.5861788617886179,0.6934959349593497,0.7040650406504065,0.7146341463414634
21,0.7065040650406503,0.6601626016260163,0.6032520325203252,0.578048780487805,0.6845528455284554,0.7113821138211381,0.7016260162601625
20,0.6837398373983741,0.648780487804878,0.6089430894308944,0.567479674796748,0.6894308943089431,0.7146341463414634,0.7065040650406503
19,0.6788617886178863,0.6609756097560976,0.6186991869918701,0.6048780487804878,0.6845528455284553,0.6739837398373985,0.7081300813008131
18,0.6796747967479675,0.6097560975609757,0.5999999999999999,0.5829268292682928,0.675609756097561,0.6853658536585365,0.7146341463414635
17,0.6715447154471545,0.6528455284552847,0.6219512195121951,0.6146341463414633,0.6780487804878049,0.6715447154471545,0.6918699186991871
16,0.6699186991869919,0.6650406504065041,0.6024390243902438,0.610569105691057,0.6560975609756099,0.659349593495935,0.6666666666666667
15,0.6601626016260164,0.556910569105691,0.6373983739837399,0.5747967479674797,0.6609756097560977,0.667479674796748,0.6609756097560976
14,0.6731707317073171,0.5512195121951221,0.6130081300813008,0.61869918699187,0.6682926829268292,0.6764227642276424,0.6536585365853659
13,0.6487804878048781,0.5430894308943089,0.6317073170731707,0.6382113821138211,0.6422764227642277,0.6528455284552847,0.651219512195122
12,0.6463414634146343,0.6219512195121952,0.6195121951219511,0.6373983739837399,0.6422764227642277,0.6520325203252033,0.675609756097561
11,0.6504065040650407,0.47317073170731705,0.6357723577235772,0.6048780487804878,0.6512195121951221,0.6504065040650407,0.6569105691056911
10,0.6422764227642277,0.5878048780487805,0.6195121951219512,0.638211382113821,0.6422764227642277,0.6585365853658537,0.6569105691056911
9,0.6422764227642277,0.49837398373983743,0.6390243902439025,0.616260162601626,0.6422764227642277,0.6422764227642277,0.6560975609756098
8,0.6422764227642277,0.4910569105691057,0.6422764227642277,0.6357723577235773,0.6422764227642277,0.6422764227642277,0.6788617886178863
7,0.6422764227642277,0.5154471544715447,0.6211382113821138,0.646341463414634,0.6422764227642277,0.6439024390243903,0.6471544715447155
6,0.6422764227642277,0.4691056910569105,0.6308943089430894,0.6455284552845528,0.6422764227642277,0.6422764227642277,0.6536585365853659
5,0.6422764227642277,0.4349593495934959,0.6227642276422765,0.6577235772357725,0.6422764227642277,0.6422764227642277,0.6439024390243903
4,0.6422764227642277,0.49105691056910566,0.6373983739837398,0.648780487804878,0.6422764227642277,0.643089430894309,0.6512195121951221
3,0.6422764227642277,0.38617886178861793,0.6260162601626017,0.6422764227642277,0.6422764227642277,0.6422764227642277,0.6422764227642277
2,0.6422764227642277,0.40650406504065045,0.6292682926829268,0.6373983739837399,0.6422764227642277,0.6422764227642277,0.6439024390243903
1,0.6422764227642277,0.3577235772357724,0.643089430894309,0.6373983739837399,0.6422764227642277,0.6422764227642277,0.6422764227642277
