num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
31,0.9406702898550725,0.8822463768115942,0.9211956521739131,0.8586956521739131,0.9492753623188406,0.9411231884057971,0.9365942028985508,0.9601449275362318,0.9610507246376812,0.9465579710144927
26,0.9252717391304348,0.9365942028985508,0.9021739130434783,0.8885869565217391,0.9637681159420289,0.9420289855072465,0.9510869565217391,0.9628623188405797,0.9628623188405798,0.9583333333333333
21,0.9393115942028986,0.9085144927536232,0.9057971014492754,0.8867753623188406,0.9510869565217391,0.9352355072463768,0.9492753623188406,0.9542572463768116,0.9257246376811594,0.9556159420289855
16,0.9230072463768116,0.9438405797101449,0.8233695652173912,0.8541666666666667,0.9610507246376812,0.9094202898550724,0.9130434782608695,0.9270833333333333,0.9329710144927535,0.9538043478260869
11,0.9248188405797102,0.9067028985507247,0.9094202898550725,0.8478260869565217,0.9515398550724637,0.917572463768116,0.9565217391304348,0.9356884057971014,0.9411231884057971,0.9384057971014492
6,0.9375,0.8034420289855072,0.8496376811594203,0.6512681159420289,0.8967391304347827,0.8971920289855072,0.9298007246376812,0.9397644927536232,0.901268115942029,0.9347826086956522
1,0.8609601449275363,0.5910326086956522,0.5,0.7640398550724637,0.7522644927536232,0.8229166666666666,0.6920289855072463,0.6739130434782609,0.8731884057971013,0.8564311594202899
