num_features,DenoisingGraphEncoder
36,0.559
35,0.5574
34,0.5581500000000001
33,0.55825
32,0.55575
31,0.5629500000000001
30,0.5582
29,0.554
28,0.56105
27,0.5534000000000001
26,0.5540500000000002
25,0.5527499999999999
24,0.5541999999999999
23,0.5562500000000001
22,0.53895
21,0.5438500000000001
20,0.5426500000000001
19,0.5450999999999999
18,0.5435000000000001
17,0.54245
16,0.54585
15,0.5396
14,0.53945
13,0.5399499999999999
12,0.5344
11,0.53175
10,0.53325
9,0.5338499999999999
8,0.5311
7,0.53185
6,0.53045
5,0.5298499999999999
4,0.5262
3,0.5134000000000001
2,0.5151999999999999
1,0.5005999999999999
