num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
11,0.9430769230769231,0.9357142857142856,0.9553846153846154,0.9591208791208791,0.9151648351648353
10,0.9377362637362637,0.9231208791208791,0.9394175824175826,0.9481648351648351,0.9082197802197804
9,0.9124725274725274,0.9269175824175824,0.9285384615384615,0.9380109890109889,0.9078131868131868
8,0.9049725274725274,0.8966813186813185,0.9121703296703295,0.911153846153846,0.8994285714285717
7,0.8983406593406595,0.904857142857143,0.8899175824175825,0.9070384615384615,0.878543956043956
6,0.8879615384615382,0.8638076923076922,0.8962197802197801,0.8850384615384614,0.8770604395604396
5,0.8416923076923076,0.8686538461538461,0.8344615384615386,0.8333571428571428,0.8714175824175825
4,0.8393901098901099,0.8193241758241758,0.84560989010989,0.8084395604395604,0.8465384615384615
3,0.7888406593406594,0.7598076923076923,0.7828131868131869,0.7807362637362638,0.7635439560439561
2,0.7641758241758241,0.7135879120879122,0.777934065934066,0.7402362637362637,0.7645934065934066
1,0.6996428571428572,0.6512967032967032,0.6315439560439561,0.7196043956043956,0.6756703296703297
