num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression,DAE
22,0.8429319371727748,0.8167539267015707,0.869109947643979,0.8481675392670157,0.8219895287958116,0.8429319371727748
21,0.8345549738219896,0.7952879581151833,0.8596858638743455,0.83717277486911,0.8214659685863873,0.8455497382198953
20,0.8298429319371727,0.8157068062827225,0.8523560209424084,0.8350785340314136,0.8083769633507852,0.8481675392670157
19,0.8335078534031414,0.7963350785340314,0.8513089005235601,0.8303664921465967,0.8104712041884816,0.8481675392670157
18,0.8178010471204189,0.7340314136125655,0.7968586387434555,0.8277486910994764,0.8052356020942408,0.8528795811518325
17,0.8287958115183246,0.7602094240837698,0.824607329842932,0.8429319371727748,0.8062827225130891,0.8455497382198953
16,0.8078534031413612,0.7408376963350785,0.7884816753926701,0.8047120418848168,0.793193717277487,0.8549738219895288
15,0.7958115183246074,0.6869109947643979,0.8020942408376964,0.7523560209424084,0.7895287958115184,0.8287958115183246
14,0.8041884816753926,0.7246073298429319,0.7486910994764397,0.7895287958115182,0.7659685863874345,0.8560209424083769
13,0.8130890052356021,0.7204188481675393,0.7685863874345549,0.7743455497382199,0.7853403141361257,0.8167539267015707
12,0.7858638743455498,0.7523560209424083,0.7565445026178012,0.7554973821989528,0.7382198952879582,0.8235602094240837
11,0.7884816753926701,0.6628272251308901,0.743979057591623,0.7476439790575917,0.737696335078534,0.7947643979057591
10,0.7691099476439791,0.6230366492146596,0.6801047120418848,0.7256544502617801,0.7240837696335078,0.8204188481675393
9,0.7507853403141361,0.6078534031413614,0.7104712041884815,0.6445026178010471,0.6816753926701571,0.8141361256544503
8,0.7413612565445026,0.6706806282722513,0.7403141361256544,0.6654450261780104,0.6821989528795811,0.7905759162303665
7,0.7052356020942409,0.6104712041884817,0.6764397905759162,0.630890052356021,0.6989528795811519,0.7827225130890052
6,0.7560209424083769,0.5167539267015707,0.6120418848167539,0.6350785340314137,0.6371727748691101,0.7790575916230366
5,0.675392670157068,0.4863874345549738,0.5094240837696336,0.6083769633507853,0.6078534031413613,0.7617801047120418
4,0.6267015706806283,0.5549738219895288,0.5602094240837696,0.5774869109947645,0.5026178010471204,0.7418848167539267
3,0.5848167539267015,0.556020942408377,0.5020942408376963,0.569109947643979,0.49057591623036656,0.6617801047120417
2,0.5759162303664922,0.44554973821989535,0.47382198952879595,0.5068062827225133,0.5230366492146599,0.706806282722513
1,0.5544502617801047,0.4450261780104713,0.4450261780104713,0.4450261780104713,0.47539267015706815,0.6664921465968587
