num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
34,0.9821428571428571,1.0,0.9642857142857142,0.9464285714285714,0.8928571428571429
33,0.9732142857142858,0.9964285714285716,0.9624999999999998,0.9392857142857143,0.8910714285714285
32,0.975,0.9732142857142856,0.9571428571428571,0.9339285714285713,0.8857142857142858
31,0.9660714285714285,0.9714285714285713,0.9357142857142857,0.9214285714285715,0.8821428571428571
30,0.9357142857142856,0.9446428571428571,0.9625,0.9214285714285714,0.8785714285714287
29,0.9499999999999998,0.9374999999999998,0.9446428571428571,0.9035714285714285,0.8732142857142857
28,0.9374999999999998,0.9178571428571429,0.9107142857142858,0.9035714285714287,0.8660714285714285
27,0.9392857142857144,0.9303571428571429,0.9,0.8642857142857142,0.8446428571428571
26,0.925,0.9321428571428572,0.9303571428571429,0.9196428571428571,0.8392857142857142
25,0.9232142857142855,0.9142857142857143,0.8732142857142856,0.8732142857142857,0.8375
24,0.9071428571428571,0.9107142857142858,0.9124999999999999,0.8803571428571428,0.8642857142857142
23,0.9017857142857141,0.9,0.9035714285714287,0.8678571428571427,0.85
22,0.8857142857142856,0.9053571428571429,0.8696428571428572,0.8482142857142858,0.7928571428571429
21,0.8928571428571429,0.85,0.8571428571428571,0.8357142857142857,0.8392857142857144
20,0.8982142857142857,0.9214285714285714,0.85,0.8375,0.8517857142857143
19,0.8553571428571429,0.8928571428571429,0.8000000000000002,0.8160714285714284,0.8089285714285716
18,0.875,0.8910714285714285,0.8267857142857142,0.7607142857142858,0.8071428571428572
17,0.8696428571428572,0.8946428571428571,0.8571428571428571,0.7749999999999999,0.7785714285714285
16,0.7982142857142858,0.8357142857142857,0.8071428571428572,0.8017857142857142,0.7982142857142857
15,0.8017857142857142,0.8107142857142857,0.7982142857142857,0.767857142857143,0.7874999999999999
14,0.7714285714285715,0.8339285714285714,0.8553571428571429,0.8160714285714287,0.7678571428571429
13,0.7821428571428571,0.8,0.7821428571428571,0.75,0.7232142857142857
12,0.7839285714285715,0.8464285714285713,0.7535714285714286,0.7392857142857143,0.7125000000000001
11,0.7642857142857143,0.782142857142857,0.7892857142857143,0.7535714285714286,0.7392857142857142
10,0.705357142857143,0.8017857142857142,0.7214285714285714,0.7142857142857143,0.7946428571428572
9,0.6928571428571428,0.7732142857142856,0.7017857142857143,0.7392857142857143,0.7017857142857143
8,0.6946428571428571,0.7857142857142857,0.6982142857142857,0.7142857142857142,0.7357142857142857
7,0.6357142857142858,0.725,0.6857142857142857,0.6839285714285713,0.7428571428571429
6,0.6589285714285713,0.7392857142857143,0.6267857142857142,0.6428571428571427,0.6767857142857143
5,0.6357142857142856,0.6946428571428572,0.6357142857142857,0.6232142857142856,0.75
4,0.607142857142857,0.6785714285714285,0.6107142857142857,0.632142857142857,0.6910714285714286
3,0.6303571428571427,0.6249999999999998,0.6392857142857143,0.6160714285714285,0.6535714285714287
2,0.607142857142857,0.6446428571428571,0.607142857142857,0.607142857142857,0.6464285714285714
1,0.607142857142857,0.6499999999999999,0.6303571428571428,0.607142857142857,0.6160714285714286
