num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
24,0.8346296296296296,0.5762962962962963,0.5835185185185185,0.6527777777777777,0.8375925925925924,0.8351851851851851,0.8448148148148149,0.8407407407407408,0.797962962962963,0.8298148148148149
23,0.825212962962963,0.5842962962962963,0.5967222222222223,0.6526666666666667,0.8184444444444445,0.8228240740740741,0.8377407407407407,0.8405740740740741,0.7873240740740741,0.827037037037037
22,0.8294074074074074,0.58725,0.5952037037037037,0.6457592592592591,0.8230555555555554,0.8195555555555556,0.8400000000000001,0.8059444444444445,0.7939074074074075,0.8230925925925925
21,0.8028333333333334,0.6003333333333332,0.5923518518518519,0.6471481481481481,0.8143425925925925,0.7802777777777778,0.8284814814814814,0.8180277777777777,0.787888888888889,0.8098518518518519
20,0.8137777777777778,0.645,0.5875555555555555,0.6461296296296297,0.8035462962962964,0.7820277777777778,0.8265740740740742,0.789074074074074,0.7928611111111111,0.8109814814814815
19,0.8125185185185184,0.6017407407407407,0.5974814814814815,0.6397037037037038,0.796888888888889,0.7885,0.8158333333333333,0.7685462962962963,0.7964537037037037,0.8098148148148148
18,0.778175925925926,0.6077685185185184,0.6206296296296296,0.641537037037037,0.8028888888888888,0.789638888888889,0.7750648148148148,0.7713518518518518,0.7705648148148149,0.7809814814814815
17,0.7602962962962964,0.6367962962962964,0.6094259259259259,0.6401481481481481,0.7821388888888889,0.785787037037037,0.8306296296296297,0.8013518518518519,0.7733055555555556,0.7974629629629628
16,0.7437222222222222,0.6162222222222222,0.6107037037037037,0.6726851851851852,0.7510462962962963,0.7788055555555554,0.7945462962962963,0.8015185185185185,0.7252129629629629,0.7623333333333333
15,0.7682222222222223,0.6284907407407407,0.6484444444444444,0.6584537037037037,0.75925,0.7728425925925926,0.7934722222222221,0.7985925925925925,0.7715740740740741,0.7643981481481482
14,0.7111203703703705,0.6256666666666666,0.619925925925926,0.6224999999999999,0.7771018518518519,0.7508518518518519,0.7635277777777778,0.7650740740740741,0.7400833333333334,0.7815185185185185
13,0.7537222222222222,0.6426388888888889,0.6183796296296297,0.6672777777777779,0.7692222222222221,0.74325,0.7815833333333333,0.7364166666666667,0.7480462962962963,0.7475370370370371
12,0.713787037037037,0.6260648148148149,0.6180555555555556,0.6006203703703703,0.6877037037037036,0.7468888888888888,0.792,0.7611388888888889,0.7098055555555556,0.7702685185185184
11,0.7129074074074074,0.6211203703703703,0.6672037037037037,0.6463611111111112,0.7055555555555556,0.7003333333333334,0.7324166666666667,0.7872870370370372,0.703037037037037,0.7316111111111112
10,0.6946851851851852,0.6215092592592593,0.6115,0.627,0.6653796296296297,0.7150462962962962,0.6976851851851852,0.7246851851851852,0.7149629629629629,0.7223148148148149
9,0.6908425925925925,0.6084629629629629,0.6549814814814815,0.6731666666666667,0.7108888888888889,0.7213055555555554,0.6706203703703705,0.7345185185185185,0.67425,0.6577314814814814
8,0.6905555555555556,0.6245555555555555,0.6397222222222222,0.6496481481481482,0.6969722222222222,0.7291574074074074,0.7106388888888888,0.6591574074074075,0.672537037037037,0.7035092592592592
7,0.7545370370370371,0.648287037037037,0.6389351851851851,0.6268981481481481,0.6821018518518518,0.6351481481481482,0.6536018518518518,0.6201666666666666,0.6451944444444445,0.6411018518518519
6,0.6078333333333333,0.5972962962962963,0.6761203703703703,0.6853888888888889,0.6549722222222223,0.6471481481481481,0.6510092592592593,0.67825,0.6534351851851852,0.6771481481481482
5,0.6265648148148149,0.6063703703703703,0.6506388888888889,0.5873055555555554,0.6859351851851851,0.6018796296296297,0.6994537037037036,0.6470648148148148,0.6463888888888889,0.650462962962963
4,0.6027685185185184,0.5897314814814815,0.641925925925926,0.6229074074074074,0.5766296296296296,0.5883981481481482,0.6137592592592593,0.5979907407407408,0.6269259259259259,0.6056851851851852
3,0.6014537037037038,0.6024814814814816,0.6420648148148147,0.5758981481481482,0.5818981481481481,0.5544351851851851,0.6699166666666667,0.5425833333333333,0.6122407407407408,0.6302129629629629
2,0.5917314814814816,0.5039814814814816,0.6175092592592593,0.5549722222222222,0.5706111111111111,0.5379907407407407,0.5697962962962964,0.5601574074074074,0.49924999999999997,0.6088240740740741
1,0.5207222222222222,0.5071851851851851,0.5661296296296296,0.5588425925925926,0.5304629629629629,0.5411111111111111,0.5214814814814815,0.5197314814814815,0.5445925925925926,0.5525092592592593
