num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
60,0.7916666666666667,0.7916666666666667,0.8333333333333334,0.8055555555555556,0.75
59,0.8013888888888889,0.7777777777777779,0.8277777777777778,0.8055555555555556,0.7472222222222221
58,0.8013888888888889,0.7930555555555556,0.825,0.8083333333333333,0.7291666666666667
57,0.7965277777777778,0.7791666666666666,0.8222222222222222,0.8055555555555556,0.7333333333333334
56,0.7999999999999999,0.8013888888888889,0.825,0.8069444444444445,0.7236111111111111
55,0.7958333333333335,0.7875000000000001,0.8236111111111113,0.8041666666666666,0.7541666666666667
54,0.8013888888888889,0.788888888888889,0.8069444444444445,0.8166666666666667,0.7486111111111111
53,0.8069444444444445,0.8055555555555556,0.8375,0.7722222222222223,0.7291666666666667
52,0.8069444444444445,0.7847222222222221,0.7861111111111112,0.7791666666666666,0.7583333333333334
51,0.8097222222222221,0.7958333333333334,0.8152777777777779,0.7847222222222223,0.7305555555555555
50,0.8020833333333334,0.7916666666666666,0.8277777777777778,0.7777777777777779,0.7222222222222221
49,0.8041666666666668,0.8041666666666668,0.7847222222222223,0.7472222222222223,0.7041666666666667
48,0.8020833333333334,0.7583333333333334,0.7874999999999999,0.7805555555555557,0.7472222222222222
47,0.767361111111111,0.8486111111111111,0.8027777777777778,0.8041666666666668,0.7152777777777779
46,0.7673611111111112,0.773611111111111,0.7736111111111111,0.7305555555555555,0.7416666666666667
45,0.7604166666666666,0.8041666666666668,0.7777777777777778,0.7805555555555557,0.7055555555555556
44,0.788888888888889,0.7861111111111112,0.7805555555555556,0.8111111111111111,0.7041666666666667
43,0.7798611111111111,0.7916666666666666,0.8152777777777779,0.7833333333333334,0.7083333333333333
42,0.7847222222222222,0.7805555555555557,0.7513888888888889,0.7347222222222223,0.6916666666666667
41,0.7694444444444445,0.7819444444444446,0.7166666666666667,0.7652777777777777,0.6763888888888889
40,0.7847222222222222,0.8138888888888889,0.7736111111111111,0.7972222222222223,0.6847222222222222
39,0.7611111111111112,0.8208333333333334,0.7708333333333334,0.7194444444444444,0.6805555555555556
38,0.7861111111111111,0.7916666666666667,0.7527777777777779,0.7861111111111112,0.6736111111111112
37,0.7868055555555555,0.7666666666666667,0.7319444444444445,0.7430555555555555,0.673611111111111
36,0.7965277777777777,0.7569444444444444,0.7402777777777778,0.7902777777777777,0.6458333333333334
35,0.7861111111111112,0.8027777777777778,0.7763888888888888,0.8180555555555555,0.6722222222222223
34,0.7763888888888889,0.7736111111111111,0.8013888888888889,0.7694444444444445,0.5819444444444445
33,0.7784722222222222,0.7805555555555554,0.7708333333333334,0.7249999999999999,0.7097222222222224
32,0.7319444444444445,0.7722222222222223,0.7,0.7583333333333334,0.6763888888888889
31,0.7083333333333334,0.6916666666666667,0.6930555555555555,0.7375,0.7055555555555556
30,0.7666666666666666,0.7833333333333334,0.788888888888889,0.7680555555555555,0.6819444444444445
29,0.7166666666666668,0.7604166666666667,0.7513888888888889,0.75,0.6958333333333334
28,0.7409722222222223,0.7270833333333333,0.7819444444444444,0.6777777777777778,0.7097222222222223
27,0.6722222222222222,0.7597222222222222,0.6555555555555556,0.7277777777777777,0.6902777777777777
26,0.7041666666666666,0.7201388888888889,0.7708333333333334,0.675,0.5972222222222221
25,0.7416666666666666,0.7840277777777778,0.7124999999999999,0.7006944444444445,0.7194444444444443
24,0.6972222222222222,0.6743055555555555,0.6152777777777778,0.7180555555555557,0.6722222222222223
23,0.704861111111111,0.6826388888888889,0.6416666666666667,0.7375,0.6666666666666667
22,0.6784722222222224,0.7215277777777778,0.7020833333333334,0.7041666666666666,0.6347222222222222
21,0.7402777777777777,0.6888888888888889,0.7493055555555557,0.6805555555555556,0.6277777777777779
20,0.6965277777777776,0.7319444444444445,0.6611111111111112,0.7215277777777779,0.7097222222222221
19,0.6861111111111111,0.6513888888888888,0.6687500000000001,0.7201388888888889,0.6791666666666666
18,0.6666666666666666,0.73125,0.7055555555555556,0.6743055555555555,0.6027777777777779
17,0.6694444444444445,0.6618055555555555,0.6944444444444444,0.6756944444444445,0.6986111111111111
16,0.7340277777777777,0.7576388888888889,0.6833333333333333,0.6402777777777778,0.6319444444444444
15,0.7402777777777778,0.6479166666666667,0.6597222222222223,0.6652777777777777,0.6083333333333333
14,0.6937499999999999,0.7097222222222223,0.63125,0.5354166666666668,0.5819444444444445
13,0.7520833333333333,0.6361111111111111,0.6506944444444445,0.6965277777777776,0.6625
12,0.5965277777777778,0.6277777777777777,0.6409722222222222,0.6118055555555555,0.5527777777777778
11,0.7256944444444444,0.6590277777777778,0.6715277777777777,0.6451388888888888,0.5652777777777778
10,0.6826388888888888,0.6020833333333334,0.5256944444444444,0.6909722222222222,0.5972222222222223
9,0.7145833333333332,0.6895833333333333,0.6104166666666667,0.7208333333333333,0.5861111111111111
8,0.6881944444444444,0.5416666666666667,0.7597222222222222,0.6361111111111111,0.49027777777777776
7,0.6263888888888889,0.5736111111111112,0.6131944444444445,0.6840277777777778,0.576388888888889
6,0.6027777777777777,0.6368055555555555,0.6104166666666667,0.6784722222222221,0.6694444444444445
5,0.5631944444444443,0.6263888888888889,0.5541666666666667,0.6409722222222223,0.5444444444444445
4,0.5784722222222223,0.6104166666666666,0.6180555555555556,0.5909722222222222,0.5708333333333334
3,0.6444444444444445,0.5847222222222223,0.6034722222222222,0.5902777777777779,0.43611111111111117
2,0.5770833333333333,0.5152777777777777,0.5243055555555556,0.5027777777777778,0.48611111111111105
1,0.6472222222222221,0.48194444444444445,0.576388888888889,0.5736111111111111,0.4402777777777779
