num_features,CompleteRandomForest,XGB,DenoisingGraphEncoder,DAE,RandomForest,AdaBoost,LGBM
19,0.9398642634623944,0.9279038718291055,0.9198931909212285,0.9127725856697818,0.9388072986203827,0.9054294615042279,0.9207832665776593
18,0.9377558967512238,0.9176346239430352,0.916332888295505,0.9114485981308412,0.9332999554962171,0.8995549621717845,0.9126502002670227
17,0.9299065420560748,0.9212171784601692,0.916188251001335,0.9081553182020471,0.9284323542501112,0.9010514018691589,0.9070649755229194
16,0.9273587004895416,0.9082331998219848,0.9068980863373388,0.8999777481085891,0.9302125055629726,0.8958388963061859,0.9132231864708501
15,0.9258344459279038,0.8945260347129504,0.9013017356475299,0.899388072986204,0.9052403204272365,0.8898420115709834,0.8897140631953716
14,0.9134957721406322,0.882943925233645,0.9000778816199377,0.9024032042723631,0.9034490431686694,0.8917556742323098,0.8718624833110814
13,0.9063918558077436,0.8231141522029374,0.8955996884735203,0.8911437472185136,0.9102247441032487,0.8868825100133509,0.873948598130841
12,0.9031653315531821,0.8619325767690252,0.8952380952380953,0.888929684023142,0.8880451713395641,0.8901479750778817,0.8605195816644414
11,0.8979361370716511,0.8258789497107253,0.8928070761014688,0.8774143302180686,0.8823208722741432,0.8438807298620382,0.8354083222073877
10,0.8880062305295949,0.7957721406319538,0.8717512238540277,0.8693424566088117,0.8728471295060081,0.8624388072986203,0.8027926123720516
9,0.8809412550066755,0.7868546951490876,0.8533155318202047,0.8764853137516688,0.8523809523809524,0.8651980418335559,0.8176290609701825
8,0.8685080106809078,0.6298342234089898,0.8506174899866489,0.8632176234979972,0.815993546951491,0.8564141076991545,0.7936248331108144
7,0.8461448598130842,0.685797730307076,0.8553905206942589,0.8660769915442813,0.8230307076101468,0.8307743658210949,0.7897085002225189
6,0.8093124165554073,0.6684746328437917,0.810235870048954,0.8149143302180685,0.7847073876279482,0.8096573208722742,0.7759290164663997
5,0.7947763684913217,0.6179072096128171,0.8375667556742323,0.8240153538050734,0.7795727636849132,0.8244047619047619,0.8033711615487317
4,0.7478582554517132,0.6173230974632843,0.7938417890520694,0.771762349799733,0.7793613707165109,0.773425678682688,0.6152759234534935
3,0.7736982643524699,0.5213284379172229,0.7629728526924788,0.7347240765465065,0.7223186470850023,0.7628838451268357,0.6725522919448154
2,0.6490932354250112,0.5423898531375168,0.6715509568313307,0.6913829550511794,0.6129450378282154,0.691733422340899,0.5988373386737873
1,0.6443202047174009,0.5381953716065866,0.6306853582554517,0.6523920783266577,0.5852803738317758,0.5959000890075656,0.5226635514018692
