num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
11,0.9996191926884996,0.9938993227505484,0.892540278549185,0.9739243994940308,0.9999999999999999,1.0,1.0,1.0,0.9996191926884996,0.999906876814655
6,0.9996191926884996,0.9955012632603536,0.8949282230876766,0.9900646430111604,0.6478136560716871,1.0,1.0,1.0,0.8754798892720983,0.999876390057548
1,0.5514882526210296,0.5366395389958882,0.5518186182071347,0.5979511790614735,0.5,0.6873084184468161,0.6799583384606516,0.5,0.5815897679791493,0.6113753296727054
