num_features,DenoisingGraphEncoder
36,0.56531670669636
35,0.5679500276742296
34,0.5598150095779957
33,0.5611481942439611
32,0.5650507126490818
31,0.5586104020950045
30,0.5680501270201936
29,0.5609072124768084
28,0.569687025055474
27,0.5641721688660395
26,0.5655368448967415
25,0.5592482152382043
24,0.5619181003524824
23,0.5525377921489567
22,0.5549314874471503
21,0.5466187716660087
20,0.5533157845568758
19,0.5543003542904097
18,0.5588347090087401
17,0.5568401052323881
16,0.5494890563740632
15,0.5406635386248871
14,0.5382439772137124
13,0.5484367324921573
12,0.5433656182603709
11,0.5475277018536209
10,0.550870457483644
9,0.5446917713616425
8,0.5401374771348584
7,0.5510759298490926
6,0.527674430518598
5,0.5394787701994253
4,0.5417273139121517
3,0.5262836874730666
2,0.5401771050244548
1,0.5261181945754492
