num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
8,0.7745726495726497,0.7446581196581199,0.7735042735042736,0.7692307692307693,0.8044871794871794
7,0.7651709401709402,0.7453525641025641,0.7513888888888889,0.7558760683760684,0.7882478632478633
6,0.7589743589743589,0.6991452991452991,0.7472222222222223,0.7596153846153846,0.7522435897435897
5,0.7305555555555556,0.722275641025641,0.7373931623931623,0.666025641025641,0.7525641025641027
4,0.7403846153846155,0.6580128205128206,0.6840277777777778,0.6525106837606838,0.7090277777777778
3,0.7308760683760684,0.6440705128205129,0.6008547008547008,0.673344017094017,0.6870192307692308
2,0.6872863247863248,0.6388354700854701,0.5881944444444445,0.5974358974358974,0.6185897435897436
1,0.5803418803418803,0.5902777777777778,0.5780448717948719,0.545352564102564,0.6338141025641025
