num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
51,0.7674694038689301,0.6564021581787077,0.7307540465850769,0.7360178970917226,0.7672062113435978,0.7604948019476245,0.7765495459928937,0.7764179497302277,0.7590472430582971,0.7729964469009081
46,0.7689169627582577,0.7412817475983682,0.7121989735491513,0.711935781023819,0.7023292538491906,0.7753651796288986,0.7899723647848401,0.7669430188182655,0.7516778523489933,0.7475983682063431
41,0.7612843795236215,0.7548361626529808,0.7056191604158442,0.6658770890906699,0.7712856954862483,0.7802342413475457,0.7736544282142387,0.7433872878010265,0.7670746150809317,0.7844453217528622
36,0.7143045137518095,0.7653638636662718,0.7052243716278458,0.7506250822476642,0.7921437031188315,0.7253585998157651,0.6429793393867614,0.7690485590209237,0.695091459402553,0.7781287011448874
31,0.6615344124226873,0.6995657323332017,0.707329911830504,0.6844321621265956,0.7636531122516121,0.6756152125279642,0.6421897618107646,0.7510198710356626,0.7465455981050138,0.7470719831556785
26,0.7237794446637714,0.7207527306224504,0.6304118963021451,0.6710093433346493,0.7754967758915647,0.7674694038689303,0.6571917357547046,0.6987103566258719,0.6356757468087907,0.7602316094222924
21,0.6848269509145941,0.7342413475457297,0.6210685616528491,0.5287537833925516,0.6625871825240164,0.7418739307803658,0.668838005000658,0.6641663376760101,0.6920647453612317,0.6687722068693249
16,0.6911435715225688,0.6093564942755625,0.7293064876957495,0.6935123042505594,0.5820502697723384,0.7648374786156075,0.7318068166864061,0.6693643900513224,0.6795631004079484,0.7175944203184628
11,0.6841689696012634,0.5871825240163179,0.6862087116725886,0.5349388077378602,0.7303592577970787,0.621002763521516,0.5654691406764049,0.5841558099749968,0.5704697986577181,0.6031714699302541
6,0.6887748387945782,0.6691011975259903,0.5029609159099881,0.4599289380181603,0.6395578365574418,0.6093564942755625,0.5588235294117647,0.5848795894196605,0.6042900381629162,0.6366627187787867
1,0.4694696670614555,0.5139492038426109,0.5015791551519937,0.5493485984998026,0.5159889459139361,0.4863139886827214,0.557244374259771,0.4919726279773654,0.4556520594815108,0.5159889459139361
