DAE,DAE_Dynamic_TYPE_LIGHTNING,features_amounts
0.8096783625730992,0.818562030075188,60
0.8071284461152881,0.8178557852965748,59
0.8054274227234753,0.8155354010025062,58
0.8035596282372598,0.8189919590643274,57
0.8040213032581456,0.8173526524644945,56
0.806470133667502,0.8177612781954886,55
0.8035057435254803,0.813640664160401,54
0.8036420217209692,0.8157626357560567,53
0.8052978279030911,0.81537343358396,52
0.801296261487051,0.8137387218045113,51
0.8045890768588138,0.8112802840434419,50
0.7999165622389306,0.8149093567251462,49
0.7986619674185464,0.8184793233082708,48
0.8019357769423558,0.8121758563074353,47
0.8012106307435255,0.8083366750208855,46
0.791999582289056,0.8099892439431914,45
0.790031850459482,0.8179379699248119,44
0.7944256474519633,0.8076087092731828,43
0.7980920008354219,0.8138053467000835,42
0.7923058688387636,0.8066167502088554,41
0.7961236424394319,0.7973589181286551,40
0.7933030492898914,0.8118186090225563,39
0.7847959482038429,0.7971279239766081,38
0.7920418755221387,0.8141347117794486,37
0.7872943817878028,0.7968204887218046,36
0.7941812865497075,0.8014306599832915,35
0.7923930659983291,0.8065233918128655,34
0.7903533834586466,0.7943243525480368,33
0.7953311403508772,0.7918791771094402,32
0.7917844611528821,0.8021989348370928,31
0.7890170217209691,0.7990267335004176,30
0.7811472431077695,0.7982067669172931,29
0.7839172932330827,0.7891953842940685,28
0.7858232038429407,0.7891437969924813,27
0.7862624269005847,0.7849165622389307,26
0.7698489974937344,0.7947661862990811,25
0.7845292397660819,0.7832014411027569,24
0.7790290309106099,0.7932646198830409,23
0.766984753550543,0.784610275689223,22
0.7903043024227234,0.7720578529657477,21
0.7771955931495403,0.7656914160401003,20
0.7598592314118631,0.7703417919799499,19
0.7581940267335003,0.7682942773600667,18
0.7526949665831245,0.762345133667502,17
0.7614758771929825,0.7575010442773601,16
0.7453031537176275,0.7610097117794486,15
0.7282199248120301,0.7583410609857977,14
0.7387485380116958,0.7401428571428571,13
0.734093462823726,0.7352718253968253,12
0.7273519214703426,0.7298397034252296,11
0.7222872807017545,0.7318280075187971,10
0.7081191520467837,0.7313099415204679,9
0.6809501879699248,0.7208304093567252,8
0.7179306599832915,0.7152067669172932,7
0.6839068504594821,0.7037910401002507,6
0.6589455931495405,0.6951523600668337,5
0.6705740914786967,0.6673576649958229,4
0.6314071637426901,0.6542254594820385,3
0.6266233291562239,0.6110487677527152,2
0.5639359857978279,0.6026989348370928,1
