num_features,DAE_Dynamic_TYPE_LIGHTNING,DAE,NeuralNetwork,TeacherStudents,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
60,0.6470588235294119,0.8529411764705882,0.7941176470588235,0.7352941176470589,0.8235294117647058,0.7941176470588235,0.8529411764705882,0.8529411764705882,0.7647058823529411
59,0.6470588235294119,0.8617647058823531,0.7970588235294118,0.7382352941176469,0.8088235294117647,0.788235294117647,0.838235294117647,0.8499999999999999,0.7558823529411764
58,0.6470588235294119,0.8647058823529411,0.7911764705882353,0.7382352941176471,0.7999999999999999,0.6176470588235293,0.8294117647058823,0.8323529411764705,0.7794117647058822
57,0.6470588235294119,0.8441176470588235,0.776470588235294,0.75,0.7647058823529411,0.7558823529411764,0.8147058823529412,0.8352941176470587,0.7470588235294118
56,0.6470588235294119,0.8441176470588235,0.8029411764705883,0.7588235294117647,0.7705882352941176,0.7323529411764704,0.8147058823529413,0.8352941176470587,0.7441176470588236
55,0.6470588235294119,0.838235294117647,0.7823529411764706,0.7617647058823529,0.7529411764705882,0.7264705882352941,0.7588235294117647,0.8323529411764705,0.7529411764705882
54,0.6470588235294119,0.8470588235294116,0.7911764705882351,0.7294117647058824,0.7794117647058824,0.7676470588235293,0.8058823529411765,0.8235294117647058,0.7441176470588236
53,0.6470588235294119,0.8470588235294118,0.7529411764705882,0.7676470588235293,0.7617647058823529,0.6852941176470587,0.8,0.8205882352941176,0.75
52,0.6470588235294119,0.8470588235294118,0.7617647058823529,0.75,0.7147058823529411,0.7647058823529411,0.6941176470588235,0.8088235294117647,0.7294117647058822
51,0.6470588235294119,0.8441176470588235,0.7588235294117647,0.7294117647058823,0.7176470588235295,0.7235294117647058,0.7147058823529412,0.7617647058823529,0.7529411764705882
50,0.6470588235294119,0.8441176470588235,0.7941176470588235,0.7588235294117647,0.7147058823529413,0.7117647058823529,0.6500000000000001,0.7882352941176469,0.7088235294117646
49,0.6470588235294119,0.8294117647058823,0.7882352941176469,0.75,0.7352941176470588,0.6911764705882353,0.7823529411764707,0.7529411764705881,0.7676470588235293
48,0.6470588235294119,0.8058823529411765,0.7382352941176471,0.7323529411764707,0.7323529411764707,0.7058823529411764,0.6852941176470588,0.7735294117647058,0.7529411764705882
47,0.6470588235294119,0.8176470588235294,0.7294117647058823,0.7147058823529412,0.7058823529411764,0.5852941176470587,0.738235294117647,0.7588235294117647,0.7029411764705883
46,0.6470588235294119,0.8470588235294118,0.7264705882352941,0.7264705882352942,0.7088235294117647,0.6735294117647058,0.6617647058823529,0.7294117647058823,0.7441176470588236
45,0.6470588235294119,0.8441176470588234,0.7352941176470589,0.7323529411764707,0.6676470588235295,0.75,0.7411764705882353,0.738235294117647,0.6970588235294117
