num_features,DenoisingGraphEncoder
50,0.8255000000000001
49,0.8250500000000001
48,0.82875
47,0.8314499999999999
46,0.8325000000000001
45,0.83055
44,0.8283999999999999
43,0.8349499999999999
42,0.83635
41,0.8378500000000001
40,0.81835
39,0.8299
38,0.8356
37,0.8309000000000001
36,0.8347999999999999
35,0.8131
34,0.8341999999999998
33,0.8282
32,0.8391500000000001
31,0.8004000000000001
30,0.8560500000000001
29,0.8391
28,0.81605
27,0.8506500000000001
26,0.8342500000000002
25,0.8295499999999999
24,0.8178500000000002
23,0.83665
22,0.81845
21,0.7924
20,0.8070999999999999
19,0.8106
18,0.77675
17,0.8114000000000001
16,0.8052499999999998
15,0.79825
14,0.7809
13,0.7771
12,0.774
11,0.81035
10,0.7938999999999999
9,0.7724500000000001
8,0.7299
7,0.74665
6,0.7396
5,0.7341499999999999
4,0.7283
3,0.7182
2,0.7205
1,0.70995
