num_features,DenoisingGraphEncoder
50,0.8665638659543469
49,0.8727025254978145
48,0.8830390966488586
47,0.8855686012627488
46,0.8895236765420107
45,0.8896827343370569
44,0.8850608305002428
43,0.9003153229723168
42,0.8962612918892667
41,0.8988664400194268
40,0.879506070908208
39,0.896876578436134
38,0.8951815201554153
37,0.8982237736765419
36,0.8978212724623604
35,0.8806850412821758
34,0.8912666342884895
33,0.8890813501699855
32,0.9008345677513354
31,0.871240832928606
30,0.9140143880524526
29,0.8972923749392908
28,0.8719119111219038
27,0.9033654686741137
26,0.8897217095677513
25,0.8857116318601262
24,0.8714018941233608
23,0.8869323700825644
22,0.8495250121418165
21,0.8389660029140359
20,0.8595245264691597
19,0.8406284604176785
18,0.8152308159300631
17,0.8597320301117047
16,0.8586471588149586
15,0.8430861461874697
14,0.8034916828557552
13,0.8197028290432249
12,0.7659487615347256
11,0.8341345313258863
10,0.8094352841185041
9,0.8049053545410393
8,0.6857609276347743
7,0.7456579043224867
6,0.7463224866440019
5,0.7176724137931034
4,0.6882698518698398
3,0.6599653351141329
2,0.5951687105390966
1,0.5163980694511899
