num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5755,0.8685,0.852
13,0.57545,0.8112,0.8084999999999999
12,0.57565,0.7545,0.7783999999999999
11,0.57555,0.7378,0.767
10,0.57665,0.73865,0.7632
9,0.57685,0.65535,0.7243999999999999
8,0.5778000000000001,0.6634,0.69885
7,0.57745,0.63545,0.66015
6,0.5753,0.6144499999999999,0.66015
5,0.5751999999999999,0.6245999999999999,0.63215
4,0.57545,0.6186499999999999,0.6043499999999999
3,0.575,0.59875,0.60475
2,0.575,0.5907,0.5946
1,0.575,0.58285,0.58535
