num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
5,0.7798334875115633,0.7705827937095282,0.7076780758556892,0.7742830712303422,0.8621646623496761,0.8908418131359852,0.901017576318224,0.8603145235892692,0.8371877890841815,0.8926919518963923
4,0.7268270120259019,0.7588344125809435,0.7282146160962072,0.761054579093432,0.7970397779833488,0.8097132284921369,0.8067530064754858,0.7848288621646623,0.7836262719703977,0.8187789084181313
3,0.6761332099907492,0.7518963922294172,0.7148936170212766,0.7532839962997224,0.742645698427382,0.7759481961147087,0.7248843663274747,0.7693802035152636,0.7300647548566144,0.7579093432007401
2,0.7212765957446808,0.6816836262719704,0.7160037002775208,0.7480111008325624,0.748196114708603,0.7182238667900093,0.7321924144310822,0.7503237742830712,0.6551341350601294,0.7361702127659575
1,0.6964847363552267,0.7116558741905643,0.7167437557816835,0.7404255319148936,0.7301572617946345,0.7052728954671601,0.6308973172987973,0.7313598519888991,0.57631822386679,0.7046253469010176
