num_features,DenoisingGraphEncoder
50,0.821
49,0.82105
48,0.82735
47,0.8246500000000001
46,0.8300999999999998
45,0.8353499999999998
44,0.8256500000000001
43,0.83825
42,0.8298
41,0.8324999999999999
40,0.8360000000000001
39,0.8327
38,0.8347
37,0.8331999999999999
36,0.82735
35,0.8373000000000002
34,0.8307
33,0.8417999999999999
32,0.83715
31,0.8375499999999999
30,0.81545
29,0.8228500000000001
28,0.8137000000000001
27,0.82385
26,0.8200999999999998
25,0.8249000000000001
24,0.8068000000000002
23,0.80235
22,0.82295
21,0.80375
20,0.7758
19,0.7837500000000001
18,0.8060499999999999
17,0.778
16,0.8013
15,0.7923
14,0.7915
13,0.78855
12,0.7886500000000001
11,0.7875500000000002
10,0.7506999999999999
9,0.7649999999999999
8,0.7505499999999999
7,0.7574
6,0.7408999999999999
5,0.7424999999999999
4,0.74055
3,0.72715
2,0.72645
1,0.72065
