num_features,DAE_Dynamic_TYPE_LIGHTNING,DAE,NeuralNetwork,TeacherStudents,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
34,0.22343750000000004,0.9499999999999998,0.946875,0.9421874999999998,0.9359375,0.9718750000000002,0.921875,0.9250000000000002,0.9171875000000002
33,0.22468749999999998,0.9543750000000001,0.9365625,0.9357812500000001,0.9309375,0.9700000000000001,0.920625,0.92515625,0.9087500000000001
32,0.22625,0.9533593750000001,0.9390625,0.9364062500000001,0.9281250000000002,0.97203125,0.9264062500000001,0.9221875,0.9046874999999999
31,0.22296875000000002,0.9510156250000001,0.92421875,0.9356250000000002,0.9268749999999999,0.9639062500000002,0.91859375,0.9215625,0.90328125
30,0.23937500000000003,0.959375,0.909921875,0.9399999999999998,0.92671875,0.96421875,0.92265625,0.9215625,0.8826562499999999
29,0.20921875,0.9549218749999999,0.92421875,0.9364062499999999,0.9262500000000001,0.96421875,0.9237500000000001,0.9204687499999998,0.87984375
28,0.2709375,0.96609375,0.9036718749999999,0.91890625,0.9192187500000001,0.9662499999999999,0.9190625000000001,0.91578125,0.8520312499999999
27,0.26859374999999996,0.9419531250000001,0.89375,0.93125,0.9225,0.96390625,0.9285937500000001,0.9189062499999998,0.866875
26,0.24093749999999997,0.9592968749999999,0.9025000000000001,0.9207812499999999,0.92125,0.9625,0.93421875,0.920625,0.87234375
25,0.23500000000000001,0.9568749999999999,0.8675,0.92421875,0.91765625,0.9584374999999999,0.9282812500000001,0.9112499999999999,0.86
24,0.22062500000000002,0.95234375,0.88359375,0.9146875,0.9115624999999999,0.959375,0.91875,0.9075000000000001,0.84046875
23,0.26359374999999996,0.96328125,0.8588281249999999,0.9096875000000001,0.923203125,0.9625,0.9176562500000001,0.921875,0.8235937499999999
22,0.23312500000000003,0.9551562499999999,0.81546875,0.9265625,0.9182812499999999,0.9530468749999998,0.90890625,0.90953125,0.805625
21,0.25078125,0.9532812500000001,0.8732812500000001,0.9126562500000001,0.90796875,0.95546875,0.9217187499999999,0.9089843749999998,0.8614062499999999
20,0.25515625000000003,0.9550000000000001,0.843046875,0.90890625,0.91734375,0.960546875,0.9103125000000001,0.9118749999999999,0.8432812500000001
19,0.34343749999999995,0.9567187500000001,0.7946093750000001,0.90359375,0.9175000000000001,0.941171875,0.9125,0.9081250000000001,0.79671875
18,0.3146875,0.9465625000000001,0.8240625000000001,0.89359375,0.9212499999999999,0.930859375,0.9092187500000002,0.8989062500000001,0.8134375
17,0.28515625,0.96015625,0.793359375,0.9045312500000001,0.9151562500000001,0.8964843749999998,0.9153125,0.9129687499999999,0.8303125
16,0.28921875,0.9665625,0.81609375,0.8828125,0.90453125,0.9006250000000001,0.9064062500000001,0.9029687499999998,0.7568750000000001
15,0.2796875,0.95734375,0.811875,0.8720312499999998,0.8959374999999999,0.89765625,0.889375,0.9042187500000001,0.7825
14,0.3271875,0.9464062499999999,0.75953125,0.89140625,0.9020312500000001,0.928125,0.8748437499999999,0.898828125,0.7628125000000001
13,0.35015625,0.94375,0.8253125000000001,0.8643749999999999,0.9012499999999999,0.933203125,0.8845312499999999,0.87890625,0.745625
12,0.35625,0.95015625,0.8104687499999998,0.8685937499999999,0.8920312499999999,0.9235937499999999,0.8579687500000001,0.883984375,0.744375
11,0.3153125,0.93140625,0.81515625,0.8740625,0.908203125,0.89140625,0.8753124999999999,0.89515625,0.7635937500000001
10,0.2975,0.9318750000000001,0.7558593749999999,0.85765625,0.9003125000000001,0.81859375,0.866171875,0.8964062500000001,0.8251562499999998
9,0.32781249999999995,0.940625,0.7578124999999999,0.8556250000000001,0.900078125,0.8875,0.8543750000000001,0.87015625,0.769375
8,0.3371875,0.9285937499999999,0.7342968750000001,0.8417187500000001,0.8517187499999999,0.861328125,0.8516406249999999,0.8732031250000001,0.74796875
7,0.3871874999999999,0.91484375,0.62734375,0.8140625,0.8631250000000001,0.820703125,0.836171875,0.867578125,0.759375
6,0.309453125,0.89546875,0.745546875,0.81734375,0.8481250000000001,0.776953125,0.7869531249999999,0.7810937499999999,0.6539843750000001
5,0.36796874999999996,0.871875,0.6840624999999999,0.8285937500000001,0.8396875000000001,0.7411718749999999,0.73953125,0.8034375,0.6890625000000001
4,0.346796875,0.85671875,0.7432812500000001,0.78234375,0.840234375,0.77140625,0.68625,0.716015625,0.62265625
3,0.34601562500000005,0.7979687500000001,0.7188281249999999,0.7544531250000001,0.818125,0.671171875,0.73,0.675546875,0.66875
2,0.407421875,0.767109375,0.66296875,0.733046875,0.7585937500000001,0.6375,0.65875,0.6894531249999999,0.59921875
1,0.43695312499999994,0.6879687500000001,0.62875,0.6948437500000001,0.716640625,0.5646875,0.5973437500000001,0.5786718750000001,0.5315624999999999
