num_features,DenoisingGraphEncoder
50,0.8195
49,0.82115
48,0.8250500000000001
47,0.82105
46,0.8238999999999999
45,0.8247
44,0.8268000000000001
43,0.8240000000000001
42,0.8188500000000001
41,0.821
40,0.8253
39,0.83725
38,0.8269
37,0.8125
36,0.8265499999999999
35,0.8280000000000001
34,0.8295999999999999
33,0.8173499999999999
32,0.80755
31,0.8220000000000001
30,0.8176
29,0.8295999999999999
28,0.7817000000000001
27,0.83525
26,0.7892
25,0.80015
24,0.7939
23,0.81315
22,0.81465
21,0.8148500000000001
20,0.8047000000000001
19,0.7964
18,0.7689
17,0.7857500000000001
16,0.78185
15,0.7752
14,0.7794
13,0.79025
12,0.7798
11,0.7555
10,0.7800499999999999
9,0.74005
8,0.7719
7,0.77055
6,0.74515
5,0.7388999999999999
4,0.7366499999999998
3,0.7181999999999998
2,0.7232
1,0.7169999999999999
