num_features,DenoisingGraphEncoder
50,0.8596083997417587
49,0.8661751950362474
48,0.8763428917111442
47,0.8695278964669239
46,0.8783732769539354
45,0.8821342854749125
44,0.8964682791962979
43,0.8902815766518325
42,0.8858237724913879
41,0.8759767829245334
40,0.8948693023049514
39,0.8950034744296762
38,0.8929588588100202
37,0.8715949357107302
36,0.8834680598883253
35,0.887099886156985
34,0.8811896595058917
33,0.8768970139617862
32,0.8494040490658467
31,0.8809296933138173
30,0.8641559600021683
29,0.8866665681012856
28,0.8195804441356062
27,0.88894921911577
26,0.816230638062993
25,0.8348578933621145
24,0.8158127824514196
23,0.856602278831606
22,0.8631302640073727
21,0.8570514289516092
20,0.8378255121703603
19,0.8004627644632375
18,0.7984037336566278
17,0.8093003829265047
16,0.7842502993923445
15,0.7948625259350158
14,0.7887660723174199
13,0.8230019565228105
12,0.7995999477603482
11,0.747797618167571
10,0.7489887191921583
9,0.6982091902361135
8,0.7973965186707472
7,0.741155358753345
6,0.7038373966911602
5,0.7044730201911183
4,0.6672083450379723
3,0.6571871411604102
2,0.5586565045758978
1,0.49588939239370966
