RandomForest,AdaBoost,XGB,features_amounts
0.979593136967279,0.9534806123192849,0.9785174976307699,34
0.9784379901816973,0.9498837397029616,0.9769872972819197,33
0.9781607933764687,0.9487111988570798,0.9744326765276423,32
0.9766503825439752,0.9423352544988701,0.9693407641811531,31
0.9773836192411707,0.9400426616988403,0.9686285256188002,30
0.9754918806085854,0.9292231659136693,0.9689215380348104,29
0.9744745194419107,0.938308390630473,0.9632692556617041,28
0.9742432403599451,0.9273866232293007,0.9618281952601174,27
0.9721634937653244,0.9149243482172542,0.9572466088450071,26
0.9733288762470684,0.9134565515211968,0.9640179852565437,25
0.9728505100289997,0.9039541969599177,0.9499280002987097,24
0.9691862801576759,0.8939501459321253,0.9529056877523697,23
0.9689858228473789,0.8700357322565562,0.9377028932166231,22
0.9686072541112589,0.8919824605854355,0.932696020671421,21
0.9683063169985366,0.875931558144373,0.9326476032548687,20
0.961198224099826,0.8548179484512435,0.9324232133871723,19
0.960244088704329,0.8397865045899943,0.9248787107565712,18
0.9536538866041153,0.8455370637816291,0.903332290516501,17
0.9552022228978752,0.8390899638436824,0.9040197586230194,16
0.9461335823469692,0.8310758644800407,0.8941862686004562,15
0.937037999471924,0.8265515267531859,0.8705873279085521,14
0.9388583007064127,0.8196429981472887,0.875992432910339,13
0.931940988168963,0.7897669084348147,0.8596609049480903,12
0.9319312236517614,0.7935467871817986,0.8665464284634765,11
0.9372562271189274,0.7802532086842728,0.8317687515891178,10
0.8939577979229011,0.7691630972637838,0.8203805076819952,9
0.8920190294069013,0.7527150105170699,0.7896592280399488,8
0.8823785600682055,0.7473667423664564,0.7992196740775116,7
0.8646445403693688,0.7028864760970024,0.7799082141161661,6
0.8471867397794173,0.7005394285666025,0.7349177592684459,5
0.8227086502678608,0.6949733497179149,0.7017232823748841,4
0.7911573624379689,0.6517174373109729,0.6823416296391126,3
0.7263603834507725,0.6054649569538013,0.6498569949628301,2
0.651275660584013,0.5589838890133513,0.58198588285602,1
