RandomForest,AdaBoost,XGB,features_amounts
0.9771797227689676,0.9771797227689676,0.9771797227689676,34
0.9759315194721374,0.9770786197656907,0.976227898150667,33
0.9747987279057073,0.9746435500045341,0.9721835579879057,32
0.9736417150736372,0.9744427046383569,0.9717120291988713,31
0.9711275356984739,0.972690937272745,0.9719868981133283,30
0.9698882261267844,0.9688552956070119,0.9689508889280056,29
0.9665707479654848,0.96724261804811,0.9677978002165645,28
0.9634049427562014,0.9653621774868915,0.9631408882879136,27
0.9635191632039456,0.9663652441507133,0.9658284815235614,26
0.9670428723958471,0.96300017246928,0.9618390746045208,25
0.9649004834473942,0.9543408619730129,0.9636113547017437,24
0.9565642292490117,0.9535644199431385,0.9609457152941134,23
0.95733035334866,0.9528058649334394,0.9537901817861772,22
0.9554908577946335,0.9596064113232305,0.9456632635099455,21
0.9530815970833133,0.9471635159907471,0.9461123686255265,20
0.9376927295308303,0.9349598404392454,0.9507639700116817,19
0.9378896134376683,0.9443256291128144,0.9424939497954373,18
0.9284399535755371,0.9341419697769812,0.9373982542374991,17
0.9292009458250877,0.9322237508867943,0.9383513630407224,16
0.9221897313213102,0.9179701477012691,0.9244010506401811,15
0.9147757948255661,0.928462503044883,0.9159093344997234,14
0.910519169427064,0.9054303993108341,0.9040258895058667,13
0.8993012753836552,0.8997134987438191,0.8992290232015632,12
0.9122742497141809,0.8920625045562117,0.8962721983076675,11
0.9001955085976825,0.8734775452109549,0.8926892992590932,10
0.8575438485364113,0.8707604117215103,0.8749485254765575,9
0.8479265858728102,0.8668910487554651,0.8529025970850915,8
0.8431214248185072,0.8402504378408269,0.8556054338491409,7
0.8075198130753052,0.8233485188533816,0.8096109906493201,6
0.7950027681763953,0.8102587519269442,0.789838521191496,5
0.7783786403019811,0.7732252588817234,0.7763974385644866,4
0.7247594440266064,0.7516871365032121,0.7279585022465458,3
0.6826445443699448,0.7016316180641123,0.7067847545602122,2
0.6307498666474638,0.6353528781477866,0.6242973710436526,1
