num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
11,0.9985974754558204,0.9924207006955955,0.9276315861168596,0.9342676958385232,1.0,1.0,1.0,1.0,1.0,0.9999880126107334
6,0.9992987377279102,0.9958425554498486,0.6812335241507752,0.6123975759319378,0.8455659191984577,1.0,1.0,1.0,1.0,0.9999945511866971
1,0.5462151997916374,0.5057681137625036,0.5,1.0,0.615413494095121,0.5281709096575857,0.550398798645643,0.7834963073392245,0.7075943380291208,0.5736848471771334
