RandomForest,AdaBoost,XGB,features_amounts
0.9329129761723711,0.9074777444420754,0.9410529211739256,19
0.9281928317375959,0.9039488886226488,0.9340556969502991,18
0.9244184851206476,0.9005605025448092,0.9239047782442,17
0.917659658290955,0.8913707534028689,0.9170365872519483,16
0.9129993716783137,0.8968237600208401,0.9082301823245258,15
0.9068139772876631,0.8799446569117697,0.8983697818990344,14
0.901478343845235,0.8738923258998526,0.885961860033774,13
0.8930142555491246,0.8648240396432391,0.8417202490265572,12
0.8817894269196224,0.8682590070456524,0.8537740885462879,11
0.8675849320245419,0.8381149318927197,0.8300338135699501,10
0.859905682289632,0.8317455430625342,0.8305801996689951,9
0.8305137464650827,0.8301923182231912,0.7921414156187054,8
0.8260854104472323,0.7979612449632763,0.7828652231221513,7
0.829730270790338,0.7855805760597462,0.7449450118167741,6
0.7703992398328428,0.7738761046826461,0.7308984901589881,5
0.7565055625150119,0.7388331082333014,0.6690519551897426,4
0.707386268604321,0.6964284912950564,0.6116495823636914,3
0.6844939707479825,0.6689043693393852,0.5967202497379991,2
0.5945109383771756,0.6060637593282294,0.5736046429580315,1
