RandomForest,AdaBoost,XGB,features_amounts
0.9339324731615628,0.9298819985181916,0.9405133935504837,19
0.9168810350184687,0.8999667140545548,0.9119477134288475,18
0.9104229073652739,0.8846348576986276,0.8905691370502037,17
0.9015404613843119,0.8833278591878517,0.8862196856603847,16
0.8939460979093777,0.878047068900415,0.8793512301979479,15
0.8880989459256471,0.8684596631113131,0.8663076862335108,14
0.8819472141056872,0.854495894278859,0.8564173609703536,13
0.8809428725630515,0.8342381376780665,0.8287060151004733,12
0.8630775163525314,0.8300211674197058,0.834938029049934,11
0.8563005266458914,0.8100787713027833,0.8172422433491772,10
0.8525275916802995,0.793866989084772,0.786618457664718,9
0.8276452192856603,0.7870490518173918,0.7863384374536715,8
0.820378710802095,0.7626238526541881,0.7734659674552893,7
0.8248010586892602,0.7334038726750002,0.736599512595254,6
0.7870640266606629,0.7216354299244259,0.7308021365149393,5
0.7337975486922056,0.6784802835913035,0.6959982811692479,4
0.7151638929344197,0.6535443659557398,0.666840688225831,3
0.6896651393998298,0.6185876750670978,0.6318558302496441,2
0.5914151786671767,0.589727447142706,0.5555176149021998,1
