DAE,DAE_Dynamic_TYPE_LIGHTNING,features_amounts
0.7788795311463043,0.7101227173090979,53
0.7782106232213678,0.7097415999138506,52
0.7759602522454876,0.7072537965116743,51
0.7782086343351089,0.7078387286845336,50
0.7728232936010848,0.7081584235302645,49
0.7666215051227685,0.7086222639395027,48
0.7683330589938927,0.7100283167811463,47
0.7698518564732454,0.7044372264728695,46
0.7712366978254097,0.7063976075949169,45
0.7688603216136141,0.7012951551998972,44
0.7629492617937859,0.7040155612907307,43
0.7649206181437136,0.7013223550187397,42
0.7546173412987355,0.7020143348568203,41
0.7599130728724109,0.700223814149715,40
0.7572932898017838,0.6978614488998729,39
0.753275299359542,0.69057748088249,38
0.7424529489132554,0.6901005864197962,37
0.7500841521566668,0.7033917570891287,36
0.7475973724861661,0.6927751377375799,35
0.7518646580815471,0.6962012324987092,34
0.740836233112762,0.6865115506450815,33
0.7528243659100722,0.6894186658136293,32
0.7443130043168986,0.6992290251200819,31
0.7394754626254353,0.6865987791089078,30
0.7251018243559985,0.6834521209713971,29
0.7314825199903312,0.674699161811792,28
0.7222186688820267,0.6825252566299709,27
0.7292072635087841,0.6788977891229744,26
0.7174589709321284,0.6949663554103316,25
0.7257451062005051,0.6767061365038956,24
0.7083893819295247,0.6629269555920094,23
0.7093971908098624,0.6612913771816095,22
0.7010841676436775,0.6714648117256328,21
0.7056702171716778,0.6543158692955658,20
0.6893585907005695,0.6678715548587103,19
0.6937740577993418,0.6630372791707503,18
0.7073955623980361,0.6464369501119505,17
0.6803132305899355,0.645884480255854,16
0.6735622689512221,0.6544019464590987,15
0.6738154696922598,0.6330639993814934,14
0.674058148889273,0.6560537108122568,13
0.6624910371031645,0.6499964086628429,12
0.6495450097053107,0.6006609641506839,11
0.6450703864579348,0.6213080792255837,10
0.6296156216759123,0.6283959152873239,9
0.6137997874956945,0.6082744114916697,8
0.6371591484286665,0.5849007834677112,7
0.6157750339248201,0.6006704845801664,6
0.5938286451827455,0.5772726755388734,5
0.5909451900041715,0.591156869435389,4
0.5685362911517791,0.569833823247161,3
0.5521784705930889,0.5412680833879608,2
0.5178638693061346,0.5321828900197457,1
