num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5735193908991366,0.9383081663313895,0.9318871431845382
13,0.5604381350105675,0.8665045453387996,0.9009957984263195
12,0.5820006620661557,0.8610444348246797,0.8737346133279009
11,0.534814748796822,0.6528365969799597,0.872005703954572
10,0.5894405540984441,0.6717093529576532,0.804584298846477
9,0.5396827175269283,0.6244900308115404,0.7556926994474293
8,0.5258543963739146,0.6639996435028392,0.7803224771459856
7,0.6017073667591862,0.6959268162257136,0.6869684500012732
6,0.5852560922818364,0.7562028978126352,0.776098189503705
5,0.5270433653331975,0.571141147411576,0.676487280690586
4,0.5964477095057422,0.5554163632196786,0.5897441878230756
3,0.545533650785567,0.5908292123959156,0.6127793027934099
2,0.5332079651651347,0.5543784981283899,0.5920081485065316
1,0.5144488808535561,0.5161165236434009,0.5328095541239082
