num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5675,0.8695,0.852
13,0.56805,0.80205,0.81085
12,0.57155,0.79075,0.7691
11,0.5705,0.6466999999999999,0.7651000000000001
10,0.5714,0.64625,0.70245
9,0.5697,0.62175,0.66805
8,0.56945,0.6449499999999999,0.68945
7,0.5713,0.6656,0.6309000000000001
6,0.5863499999999999,0.70835,0.67635
5,0.5650000000000001,0.6064,0.6150499999999999
4,0.5886,0.58615,0.602
3,0.57125,0.5952,0.60495
2,0.5704499999999999,0.5856,0.6064499999999999
1,0.5675,0.5763999999999999,0.5675
