num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
8,0.8292682926829269,0.7642276422764229,0.7723577235772358,0.7560975609756098,0.8211382113821137
7,0.7894308943089431,0.759349593495935,0.7577235772357724,0.7154471544715448,0.7934959349593497
6,0.7747967479674797,0.734959349593496,0.7276422764227642,0.7406504065040651,0.7617886178861789
5,0.7439024390243902,0.7382113821138211,0.6853658536585365,0.7146341463414634,0.7292682926829268
4,0.6894308943089431,0.6894308943089431,0.6861788617886179,0.6878048780487804,0.7048780487804878
3,0.6707317073170731,0.6853658536585365,0.7073170731707317,0.651219512195122,0.6853658536585365
2,0.6536585365853658,0.591869918699187,0.6414634146341464,0.6398373983739838,0.6869918699186991
1,0.6373983739837398,0.6422764227642277,0.6577235772357723,0.6260162601626016,0.6268292682926828
