num_features,DenoisingGraphEncoder
36,0.5655
35,0.5591999999999999
34,0.5614
33,0.5541
32,0.55785
31,0.5540499999999999
30,0.55395
29,0.54825
28,0.55045
27,0.55135
26,0.5478500000000001
25,0.54055
24,0.54105
23,0.54595
22,0.5442
21,0.53835
20,0.5373999999999999
19,0.5384500000000001
18,0.53115
17,0.5296000000000001
16,0.5481499999999999
15,0.5309
14,0.5347500000000001
13,0.5377000000000002
12,0.5332500000000001
11,0.5300999999999999
10,0.5284
9,0.5236000000000001
8,0.52735
7,0.5316
6,0.5182500000000001
5,0.5138
4,0.5165499999999998
3,0.5039
2,0.5035999999999999
1,0.47765
