RandomForest,AdaBoost,XGB,features_amounts
0.9728012133966104,0.9552774331604443,0.9677074096641507,60
0.9719019904031369,0.9478438118036022,0.966295318238771,59
0.9681819672468788,0.9359424507479428,0.9620001001775382,58
0.9673355412914187,0.9376659507767651,0.9621548462192546,57
0.9654871142493185,0.9201809503203806,0.9583556864474694,56
0.9608435558718476,0.9136043704254299,0.954365532366808,55
0.9580498012726608,0.9120460526240397,0.9566929903785064,54
0.9591610123967508,0.902328973234073,0.9503772018527114,53
0.9554317157114397,0.9032684462266086,0.952128193762493,52
0.9567422333736262,0.882800321534185,0.9507108738943586,51
0.9486939872927455,0.8790904852872041,0.9433179595415349,50
0.9534524995672833,0.8742038159043639,0.9497249301725631,49
0.9436238955137558,0.8613881223071973,0.9507214316533613,48
0.9455251013125328,0.8637086656716294,0.9419451262455537,47
0.9328805310969109,0.8262883992921107,0.9385913947325326,46
0.9359412240908804,0.8180385151807886,0.9433325750244899,45
0.9194573992779249,0.8009370667535203,0.9392380999947045,44
0.9430013334247696,0.8148104237410315,0.9337220719537175,43
0.9282061504713738,0.8186380130583919,0.935005018185635,42
0.9231063810847943,0.7815921755598756,0.9263756565990524,41
0.8991444514263474,0.8013474936765418,0.9314165096297569,40
0.9082692107570522,0.789458588849428,0.9356650257901012,39
0.9257923023774881,0.7852130908643322,0.9238466677879537,38
0.907940608869034,0.7883552604022975,0.9288352211803739,37
0.912165055581285,0.7722306258227234,0.9148204658006888,36
0.8854326286722098,0.7667901858526543,0.9075255940628899,35
0.8740120202624496,0.740359305592562,0.905607313518621,34
0.8672564673306737,0.7528847439234774,0.8957681051404693,33
0.9047429435491441,0.7343782027522157,0.9224788278049386,32
0.8389621643139801,0.7255381584855313,0.896111194069355,31
0.8347963833742742,0.7580476380408578,0.9014220705710245,30
0.8721658627135644,0.7675202862987771,0.886488449035032,29
0.8510140631607417,0.7293315055659135,0.8813555738154223,28
0.8442393567477356,0.7617757367141277,0.8808898433473462,27
0.8112164270138059,0.7486666013667176,0.8599212042717772,26
0.827267028764872,0.7145723409946868,0.8698021286593652,25
0.824097558259741,0.7057944906639534,0.8662142089000978,24
0.7851207007521193,0.7347114694351445,0.8570406030181588,23
0.7676827988850805,0.727494726168715,0.8745971440281138,22
0.7749252744774541,0.667029848504791,0.8517655925553917,21
0.7680503828154129,0.7291612288471383,0.830850367900043,20
0.7605185987840779,0.6954565742057589,0.827189428465773,19
0.7477925256127216,0.6835002061827125,0.8149696889531283,18
0.7363702891343366,0.677158100718797,0.814461457596068,17
0.7709406543719843,0.7271001491850384,0.7833137646682555,16
0.740190422959244,0.719405272685378,0.7810745514641543,15
0.7334028935550718,0.6515786547421936,0.7536253248061304,14
0.6914755894779535,0.6231327938634633,0.7072721965014789,13
0.6678225025609711,0.6617569637115611,0.7259208216630872,12
0.6284589795959902,0.6311986605550296,0.7222642065379785,11
0.685110084472296,0.5943226474149312,0.696665773114287,10
0.6461646524453657,0.5855965557353262,0.6730477219378802,9
0.6655084612795801,0.5936720823069364,0.6610051464180142,8
0.584730057372837,0.5679627128758502,0.6132904794011036,7
0.5746861878269297,0.5907828893081405,0.6513959450459021,6
0.5971627022236283,0.5378540755224845,0.6509825278809229,5
0.5318551183147712,0.5399417515630007,0.5749477285534839,4
0.5323299960741613,0.4985620631861588,0.5798810125068227,3
0.4734187594449846,0.4860257628588817,0.5642670580217325,2
0.509175905235662,0.5035086275842082,0.5497357966213136,1
