num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
26,0.9240886890905428,0.9162149494733585,0.9168896028785211,0.9675876910265531,0.9929567743106233,0.9993854642250002,0.9995279652742755,0.9928805139834722,0.9936798558067507,0.9991795056772196
25,0.9188893490485273,0.9095158415521926,0.911823690576784,0.9667162080470788,0.9740715444330517,0.9715084738026295,0.9988186885672968,0.9796563609462515,0.9555420661984171,0.9914444819251891
24,0.8810786438798581,0.9027317339817132,0.8829514750528535,0.9638057354445755,0.9459354358917839,0.96290842414992,0.9555066079295154,0.9899292949871915,0.9666972264619995,0.998410890642691
23,0.9146492748589183,0.8971753620138962,0.8987054670304897,0.9613703034493047,0.9517035555125084,0.9726642909069858,0.8790819035913604,0.9570693323269198,0.9547642108614746,0.9761425411276955
22,0.8590333419056619,0.8948060594118047,0.879902119591779,0.9609684059587703,0.9376179947653129,0.9469345575064096,0.945634012773883,0.8987972577454328,0.9721191687290354,0.9762602158222922
21,0.8265167177109879,0.8754337097364955,0.9064239584342252,0.9472250147232529,0.9429290534033814,0.9103348885986916,0.9338810717414854,0.9276791032230844,0.9598783285962866,0.9595079928615882
20,0.8182639587014148,0.8419213594600101,0.8557364465359442,0.9482476267452202,0.947384938752381,0.8427159141386646,0.7266580498063433,0.8602500002783222,0.8829288196125976,0.9713455995564655
19,0.8109348402819293,0.8653987413149506,0.8487236136484831,0.9318880609726365,0.8898301008974225,0.894126340539656,0.6985406445277927,0.8845222151342794,0.9352268716900515,0.9535005716741314
18,0.7850236407014168,0.8706084349488276,0.8480977779855918,0.8947393733739016,0.872685666064377,0.8179827417869854,0.9081814528204631,0.8694859608634227,0.9135843578379473,0.8906951267981016
17,0.7814572179564683,0.830424641993946,0.8537654232336827,0.897845450932324,0.8042541573011193,0.8601140119723147,0.6954175336408239,0.8571789356730225,0.8578755765447725,0.8672573223830182
16,0.7502209879553214,0.8591944905531823,0.8323864806582657,0.9051677226217075,0.8491307435994206,0.7953032544790418,0.6239160178972412,0.8913478484011493,0.9039378717690949,0.8805904107926732
15,0.7956302275897618,0.8476782348573153,0.8093928787327205,0.8632870538910022,0.8506072437291188,0.8418640250534658,0.6233324315688809,0.8692655295528249,0.8902884978274157,0.8872986476873083
14,0.7083839601709567,0.8183682182581696,0.8391713675313586,0.8583178864422498,0.8197817618696138,0.7901994346716186,0.6290812356176919,0.8889996426340874,0.8654744449973781,0.802086582746908
13,0.7666569810484738,0.8264670093371587,0.7753157010550644,0.875598754897082,0.7818650715455463,0.7135659885620642,0.5502227135539651,0.7515897216665053,0.8106914195442416,0.7571151441876828
12,0.7617101907176151,0.8163067401883017,0.7993439941930822,0.8708859223436078,0.7892260857077014,0.6947388723936502,0.5896639424473887,0.7866765415440657,0.7388386053155118,0.794706753993091
11,0.6193126216964528,0.7816347876233385,0.782329090587249,0.8648336355914182,0.6873917186851161,0.6985320721990473,0.5387241591603126,0.7719408197595516,0.7403792309173838,0.8430414956375752
10,0.6537413205171452,0.7720254854220314,0.7692094197646728,0.8601607701291082,0.7060103157400202,0.765773641536384,0.6262861554664182,0.704217864065132,0.7010591835803166,0.7792503442847616
9,0.6625889657429704,0.7746218434069329,0.7055167945279597,0.760716691214699,0.6877570446173011,0.6875242557938368,0.5303573436468467,0.6336335318328418,0.748334685980012,0.8080033821733414
8,0.6648580166303177,0.7754293122431781,0.7227693854308264,0.7398228088515417,0.6748683256906014,0.7355592442545915,0.5550957484589292,0.621441008462113,0.6424559610526821,0.7147101161272224
7,0.5999794041452219,0.7552497163895133,0.6792438315414939,0.7375087810705168,0.7174115686359644,0.6752425579383661,0.5132932326474358,0.6099155681283044,0.7212258096119184,0.7597473500927927
6,0.6306068318120234,0.7586861069269983,0.6308064446099534,0.7607146872936935,0.6483113625660877,0.6196746634247677,0.5154062560187211,0.63921573211584,0.5991006291198667,0.7524466205542178
5,0.5859816819354313,0.7411199580512536,0.6047486248092101,0.693560232855621,0.5872439851754377,0.608113263841806,0.49104592430299726,0.5782476601439038,0.5951411038710188,0.6841777633792342
4,0.5766093433930168,0.7027416979222679,0.6267171654760038,0.6662462329068322,0.5465039928126033,0.6097124484686147,0.48864951310286014,0.5412732580081693,0.6031272857223968,0.6921882706050394
3,0.5233916585674858,0.6038894993426026,0.5927264347239432,0.6379520929284968,0.5886485111423575,0.5794603106745532,0.48871146766061146,0.5675577992048886,0.5993479463706207,0.5928373183529104
2,0.5313251261635267,0.5824918535044682,0.5701272155851618,0.629370468216143,0.5120428416045173,0.5646948640617919,0.5022441132037242,0.5442749646808922,0.5859499531861787,0.5292049777397775
1,0.5000745903929801,0.613051927159698,0.4895210517468068,0.5613690231664401,0.5153096781591536,0.4866876744385403,0.45679217891897367,0.508715609097356,0.5169467146271761,0.5192394785797544
