num_features,NeuralNetwork,TeacherStudents,DAE,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
65,0.9600000000000002,0.945,0.9549999999999998,0.9600000000000002,0.9499999999999998,0.9600000000000002,0.9650000000000001,0.9549999999999998
64,0.9585000000000001,0.9249999999999998,0.9524999999999999,0.9580000000000002,0.9499999999999998,0.959,0.9615,0.9480000000000001
63,0.9400000000000001,0.9359999999999999,0.9499999999999998,0.952,0.9375,0.9555,0.959,0.9425000000000001
62,0.9349999999999999,0.9359999999999999,0.951,0.9570000000000001,0.9404999999999999,0.9484999999999999,0.9570000000000001,0.9409999999999998
61,0.9329999999999998,0.9184999999999999,0.9490000000000001,0.9455,0.9305,0.9415000000000001,0.9584999999999999,0.9434999999999999
60,0.9199999999999999,0.9279999999999999,0.9480000000000001,0.9470000000000001,0.9155,0.9295,0.943,0.9155000000000001
59,0.9054999999999997,0.9334999999999999,0.9480000000000001,0.95,0.9254999999999999,0.9380000000000001,0.9259999999999999,0.9274999999999999
58,0.9105000000000001,0.9055,0.945,0.944,0.9275,0.9350000000000002,0.9365000000000002,0.9125
57,0.8959999999999999,0.9265000000000001,0.9464999999999998,0.9469999999999998,0.9195,0.9390000000000001,0.9344999999999999,0.9195
56,0.9120000000000001,0.901,0.945,0.938,0.9324999999999999,0.9260000000000002,0.9325000000000001,0.9135000000000002
55,0.876,0.9244999999999999,0.9465,0.9225,0.9269999999999999,0.9164999999999999,0.906,0.9145
54,0.8775000000000001,0.9065,0.9410000000000001,0.9245000000000001,0.9205,0.915,0.9175000000000001,0.8995000000000001
53,0.8694999999999998,0.909,0.9409999999999998,0.9199999999999999,0.9055,0.9174999999999999,0.9119999999999999,0.877
52,0.8995,0.8880000000000001,0.9380000000000001,0.9244999999999999,0.9099999999999999,0.8960000000000001,0.9075,0.8955
51,0.843,0.9029999999999999,0.9444999999999999,0.9135000000000002,0.881,0.9039999999999999,0.9065,0.908
50,0.858,0.8774999999999998,0.9395,0.9359999999999999,0.884,0.892,0.9035,0.85
49,0.8585,0.9005000000000001,0.9404999999999999,0.9184999999999999,0.844,0.9229999999999998,0.9149999999999998,0.851
48,0.8345,0.8905000000000001,0.937,0.892,0.8855000000000001,0.9145,0.8720000000000001,0.8744999999999999
47,0.8455000000000001,0.924,0.9355,0.9235,0.8539999999999999,0.9075,0.8855000000000001,0.818
46,0.807,0.8800000000000001,0.9369999999999999,0.9165000000000001,0.901,0.9049999999999999,0.8859999999999999,0.8385
45,0.867,0.893,0.9339999999999999,0.8979999999999999,0.8614999999999998,0.8965,0.8815000000000002,0.8150000000000001
44,0.8265,0.8930000000000001,0.9355,0.8959999999999999,0.8815,0.89,0.897,0.8385
43,0.8229999999999998,0.8765000000000001,0.942,0.9025000000000001,0.8835000000000001,0.865,0.8485000000000001,0.8524999999999998
42,0.8089999999999999,0.8629999999999999,0.9305,0.8945000000000002,0.8664999999999999,0.9015000000000001,0.841,0.7765000000000001
41,0.8394999999999999,0.9019999999999999,0.9350000000000002,0.8815,0.8614999999999998,0.8360000000000001,0.8375,0.8150000000000001
40,0.775,0.8825,0.9380000000000001,0.8950000000000001,0.8419999999999999,0.7985,0.8649999999999999,0.8545
39,0.7715,0.8254999999999999,0.925,0.8720000000000001,0.8514999999999999,0.8675,0.9055,0.8320000000000001
38,0.807,0.8619999999999999,0.9349999999999999,0.8685,0.8375,0.8564999999999999,0.8355,0.8480000000000001
37,0.787,0.8615,0.9265000000000001,0.8825,0.8635000000000002,0.7585,0.8699999999999999,0.8495000000000001
