num_features,CompleteRandomForest,XGB,DenoisingGraphEncoder,DAE,RandomForest,AdaBoost,LGBM
53,0.7125000000000001,0.75,0.7375,0.7125000000000001,0.6937499999999999,0.6875,0.71875
52,0.7106250000000001,0.721875,0.734375,0.72,0.69875,0.685,0.7225
51,0.7124999999999999,0.7237500000000001,0.7306250000000001,0.7112499999999999,0.6937499999999999,0.681875,0.713125
50,0.704375,0.7218749999999999,0.725625,0.7106250000000001,0.695,0.6962499999999999,0.70875
49,0.7075,0.7143749999999999,0.7212500000000001,0.704375,0.6993750000000001,0.6900000000000001,0.704375
48,0.705,0.69875,0.718125,0.715625,0.6924999999999999,0.68125,0.7175
47,0.705625,0.6937499999999999,0.7187499999999999,0.7150000000000001,0.701875,0.690625,0.708125
46,0.7006249999999999,0.6943750000000001,0.706875,0.720625,0.6849999999999999,0.6831250000000001,0.7006249999999999
45,0.69,0.69125,0.7125,0.720625,0.685625,0.6849999999999999,0.689375
44,0.6893749999999998,0.67,0.708125,0.720625,0.6987500000000001,0.68375,0.716875
43,0.6981250000000001,0.6825,0.714375,0.7074999999999999,0.690625,0.6925,0.708125
42,0.6775,0.6799999999999999,0.701875,0.706875,0.685,0.6956249999999999,0.6912499999999999
41,0.6912499999999999,0.68375,0.709375,0.7193750000000001,0.68625,0.691875,0.6975
40,0.710625,0.6475,0.7093749999999999,0.7031250000000001,0.690625,0.691875,0.69125
39,0.6912499999999999,0.650625,0.6975,0.700625,0.6756249999999999,0.688125,0.6824999999999999
38,0.70625,0.62,0.7175,0.7106250000000001,0.6987500000000001,0.678125,0.6781250000000001
37,0.6793750000000001,0.625,0.70625,0.70125,0.6793750000000001,0.69125,0.6943750000000001
36,0.6799999999999999,0.62375,0.7056250000000001,0.716875,0.68125,0.701875,0.6799999999999999
35,0.7025,0.655625,0.701875,0.690625,0.6868749999999999,0.676875,0.6775
34,0.6824999999999999,0.5843750000000001,0.7024999999999999,0.70875,0.686875,0.680625,0.6912499999999999
33,0.6806249999999999,0.6050000000000001,0.704375,0.718125,0.68875,0.683125,0.674375
32,0.6775,0.6075000000000002,0.7012499999999999,0.72,0.678125,0.6868749999999999,0.685
31,0.67875,0.5862499999999999,0.7031250000000001,0.7106250000000001,0.686875,0.6824999999999999,0.6743750000000001
30,0.6900000000000001,0.515625,0.691875,0.689375,0.6743750000000001,0.6799999999999999,0.67125
29,0.67125,0.5693749999999999,0.69875,0.6968749999999999,0.6756249999999999,0.6868749999999999,0.688125
28,0.696875,0.528125,0.69625,0.71875,0.66875,0.6875,0.676875
27,0.68125,0.619375,0.6943750000000001,0.7031249999999999,0.679375,0.68125,0.6625
26,0.6725,0.5706249999999999,0.6799999999999999,0.709375,0.674375,0.6737500000000001,0.6749999999999999
25,0.6731250000000001,0.5893750000000001,0.6962499999999999,0.700625,0.6725000000000001,0.6799999999999999,0.67
24,0.673125,0.573125,0.7,0.7000000000000001,0.6718750000000001,0.68125,0.66875
23,0.686875,0.5125,0.6950000000000001,0.700625,0.680625,0.67875,0.673125
22,0.6849999999999999,0.56375,0.698125,0.686875,0.68375,0.6756249999999999,0.66625
21,0.673125,0.576875,0.6775,0.698125,0.6675000000000001,0.670625,0.671875
20,0.678125,0.5075000000000001,0.6887500000000001,0.71125,0.6725,0.6743750000000001,0.655
19,0.68125,0.591875,0.684375,0.674375,0.6675,0.680625,0.6443749999999999
18,0.681875,0.5349999999999999,0.6943750000000001,0.68625,0.67375,0.6693749999999999,0.67375
17,0.67125,0.5131249999999999,0.6775,0.68875,0.67375,0.6799999999999999,0.6637500000000001
16,0.6768750000000001,0.501875,0.6799999999999999,0.6906249999999999,0.674375,0.66875,0.66875
15,0.6699999999999999,0.5081249999999999,0.6799999999999999,0.6937499999999999,0.6693749999999999,0.675,0.67375
14,0.6768750000000001,0.5025,0.6825,0.68625,0.673125,0.6806249999999999,0.6693749999999999
13,0.68125,0.5349999999999999,0.68,0.675,0.670625,0.6681250000000001,0.674375
12,0.675,0.5162500000000001,0.69375,0.6806249999999999,0.666875,0.66875,0.66875
11,0.6756249999999999,0.47124999999999995,0.6674999999999999,0.6737500000000001,0.6675000000000001,0.671875,0.6675
10,0.675,0.414375,0.6825,0.6825,0.66875,0.67625,0.671875
9,0.674375,0.3681249999999999,0.674375,0.673125,0.66875,0.671875,0.66875
8,0.670625,0.3725,0.653125,0.6793750000000001,0.66875,0.67,0.6693749999999999
7,0.6675,0.38812499999999994,0.675,0.68125,0.66875,0.6681250000000001,0.6681250000000001
6,0.66875,0.42874999999999996,0.6693749999999999,0.6831250000000001,0.67,0.66875,0.66875
5,0.670625,0.344375,0.6675000000000001,0.671875,0.6681250000000001,0.66875,0.6681250000000001
4,0.67,0.37687499999999996,0.665625,0.67125,0.66875,0.66875,0.66875
3,0.66875,0.35374999999999995,0.670625,0.666875,0.66875,0.67125,0.66875
2,0.66875,0.39437500000000003,0.67375,0.67,0.66875,0.66875,0.66875
1,0.66875,0.33124999999999993,0.66875,0.66875,0.66875,0.66875,0.66875
