num_features,DenoisingGraphEncoder
50,0.795
49,0.7966000000000001
48,0.7984
47,0.80145
46,0.8086499999999999
45,0.8031
44,0.79825
43,0.8070499999999999
42,0.8082499999999999
41,0.81465
40,0.80055
39,0.8109
38,0.8070999999999999
37,0.8069500000000002
36,0.8097499999999999
35,0.7997500000000001
34,0.81235
33,0.8191499999999999
32,0.81125
31,0.8259500000000001
30,0.8142999999999999
29,0.7883500000000001
28,0.8064500000000001
27,0.7817000000000001
26,0.8215
25,0.8056000000000001
24,0.80365
23,0.7904
22,0.7838999999999999
21,0.7855
20,0.79665
19,0.7930500000000001
18,0.7924
17,0.7754000000000001
16,0.75795
15,0.77935
14,0.78575
13,0.7373000000000001
12,0.73535
11,0.7827
10,0.74055
9,0.7546999999999999
8,0.7339
7,0.7377
6,0.7434
5,0.7221
4,0.7072
3,0.704
2,0.7153
1,0.6946
