RandomForest,AdaBoost,XGB,features_amounts
0.7619839255891483,0.7619839255891483,0.7619839255891483,53
0.7601671460211693,0.7577552679248316,0.7613631056002659,52
0.7583694771331458,0.7548963987578958,0.7607940386937093,51
0.7501589479174383,0.7564889226029485,0.7529746775643206,50
0.750281588499686,0.7498910623461891,0.7541959238350665,49
0.7514515694710824,0.7500540667175274,0.7470787223291369,48
0.7484650207889765,0.7455880505102717,0.7524275801170027,47
0.7514760171251014,0.7485972512773873,0.7501819283061042,46
0.7433251730084158,0.7450425608451717,0.7400591356378899,45
0.7439636943706287,0.739299591357452,0.7433666579300748,44
0.7311102062453998,0.7294269729544625,0.7434875932638563,43
0.7309139646976277,0.7445860308947356,0.7337338435902498,42
0.7371964177613416,0.7285562162871893,0.7393385114067308,41
0.734938335991991,0.717133131854286,0.7288064383407619,40
0.7313323307372455,0.730759084069936,0.7221562190611619,39
0.7137308638114666,0.7289404253487183,0.7311417477386817,38
0.7161976721910095,0.7212568746536989,0.7041922041102063,37
0.7198615396827439,0.7304826460673628,0.7227520913772318,36
0.7254937345751447,0.7184611430731745,0.714760131574363,35
0.7129894469184619,0.7154117599031229,0.7077560701855445,34
0.7036093348219997,0.7087672048448385,0.7072592371970118,33
0.7123164570703626,0.7064005045955701,0.7081795632770291,32
0.6931866517526811,0.7016378724237029,0.7019301867224751,31
0.7063774732828184,0.6980762202457063,0.6904587313289321,30
0.6872082649186497,0.6869211296494312,0.6892248109339583,29
0.710984504035095,0.6978980678586649,0.6945762301986543,28
0.676366321960487,0.6828279886505795,0.681641426788605,27
0.6727255429614785,0.6820886386468974,0.6781416921123866,26
0.6731717230817329,0.6723301594473262,0.6820491154567634,25
0.6658308296249711,0.6585815284868145,0.6668746726691077,24
0.6577813870760312,0.6666621971986092,0.6683517807862038,23
0.6466052545719811,0.6722711992601307,0.6702512284487637,22
0.6705246181660535,0.666087060631169,0.6728384047320656,21
0.6463841042803175,0.6430640569239117,0.6555506874138677,20
0.638813402359636,0.6595170545379989,0.6642598428534405,19
0.6330683264094261,0.6444256285773371,0.6419864917882141,18
0.6227183477521089,0.64129879875928,0.6471447962135457,17
0.6349033133481725,0.6261196653564322,0.6130217663266246,16
0.6345933969625545,0.626383127059239,0.6245548224146846,15
0.6236159095270258,0.6435285938613161,0.6477256237117256,14
0.6210048456250342,0.6154316098461287,0.6022490207108637,13
0.6196798829827617,0.5849090772603048,0.6143769565475273,12
0.6009865448734593,0.5828774155576882,0.6075590132000576,11
0.5812363581190676,0.5882040088958956,0.6082677131222093,10
0.605136924196486,0.5865669690060173,0.6044779973868022,9
0.5817152033433781,0.5580804098300002,0.5869790668032506,8
0.5729405751709166,0.5948972553073351,0.5772866221935147,7
0.5548219264513581,0.5453235765105391,0.5746391732568562,6
0.5616829456830971,0.5373533291297793,0.5466001162619106,5
0.5461165385171542,0.5462225956963225,0.5486071631079316,4
0.5570235652509407,0.5271185727290191,0.5341086193286432,3
0.5087895825106951,0.5207849396597914,0.5036055944413894,2
0.5049359090142692,0.500078572351567,0.5182877580943999,1
