RandomForest,AdaBoost,XGB,features_amounts
0.7662625188932441,0.7305983744419039,0.7079889900970977,53
0.7476492054895881,0.6922446633366023,0.711610417981949,52
0.7421780684016746,0.6755899061241235,0.7075167218210865,51
0.6748546451591537,0.6272946837348188,0.6691468866257704,50
0.6491854962117604,0.6371267995513944,0.614752315932263,49
0.6055572400960786,0.5892786466604288,0.5923500527870855,48
0.5515360081783244,0.5915527785299154,0.5621306059208351,47
0.5079034983192712,0.5538829732288006,0.551252675127737,46
0.49726462836514107,0.567666588253692,0.5388533755859682,45
0.47557598638856396,0.5435060353465533,0.5074350792427547,44
0.43565336669045907,0.5425831348053836,0.5018889759450756,43
0.46124231399111465,0.5155305104277839,0.47559518980350396,42
0.4509113283744588,0.49931454335030967,0.4725530561414882,41
0.44672705201524304,0.5012149933348342,0.46106467628193465,40
0.4385604531372619,0.5060578247021003,0.48518483935442946,39
0.43700964704846906,0.501457215356041,0.46772664584326246,38
0.4575931838868277,0.49181749956616655,0.48083529363479843,37
0.4772057947778217,0.48657732172081536,0.4571322026447754,36
0.456525139107615,0.4670452751912298,0.4625424510619319,35
0.4396351922241113,0.47994163228429204,0.44710610992985717,34
0.4509202766684375,0.493100831701342,0.45966372922347015,33
0.4564843270369929,0.47918354208291714,0.4594732690204063,32
0.44431352666410967,0.4956094442497047,0.4461012887807231,31
0.4474811629540586,0.4632321350537601,0.4598181381341563,30
0.45206225898790076,0.4955635117197207,0.4423274875207458,29
0.449816205603196,0.47162623977951,0.4580601663277907,28
0.454410985977459,0.4911583364451939,0.4751930824458192,27
0.46783622651837564,0.48666386666396877,0.4661555158816479,26
0.45284413529219486,0.4943089269463556,0.4529992370422101,25
0.4556852867947366,0.4841810957975604,0.46262546967920076,24
0.4573333141184171,0.4986132454447551,0.4767449793506441,23
0.4752118407876768,0.4878119481575419,0.46494996864183974,22
0.47627786479722156,0.5077665093318072,0.48551048138526154,21
0.46917246163955173,0.4955475566928218,0.48364992353751673,20
0.4820668140014165,0.5016145199449331,0.4827314845842726,19
0.48907671390659974,0.4920655221165033,0.4818203461555225,18
0.4896250480740928,0.49937419104501224,0.48786187107426066,17
0.4804752920753451,0.4968709558085648,0.49144081532381234,16
0.49248734918150233,0.4997646524314402,0.4936546277833377,15
0.4958846365462721,0.4990448508680704,0.4849067349801362,14
0.48615245664029905,0.4947914274504027,0.47880847874968613,13
0.49198840208411376,0.5006962890347701,0.48809575591504906,12
0.4940444029474473,0.5031776793404701,0.48450633352169065,11
0.49114471573535246,0.5073498868030117,0.47799657459330247,10
0.491358137695501,0.5012515968702378,0.4955895729379883,9
0.49760467924608953,0.5043471059786467,0.49117636461169367,8
0.49643428823542823,0.5069387808977198,0.5016038951358718,7
0.4950022236026867,0.5069740111309878,0.4950096485125555,6
0.5017480663783352,0.5065565221815221,0.5028988603988604,5
0.4999696642719898,0.5039085349405117,0.49444075896110784,4
0.5029771399466167,0.5,0.4989372556814417,3
0.5016666666666667,0.5,0.5012468942556152,2
0.5,0.5,0.49493606307559795,1
