num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5580582711530193,0.933965583927265,0.9262705456649558
13,0.5783408346405479,0.9077571587298493,0.8672570761419445
12,0.5126416946832882,0.8719966472388452,0.8296943016397547
11,0.49066171891591315,0.8612387262380234,0.8632418676562168
10,0.4688633852423109,0.740371789202837,0.7603389284501483
9,0.4701355467575783,0.7716067399937829,0.7385185884342051
8,0.4610766282384975,0.7305219247803725,0.6953943649400494
7,0.47939339440392564,0.7413787973764746,0.7290963344307435
6,0.5003701066666394,0.59386982299514,0.6795172762611583
5,0.5295768318869335,0.6444898991401624,0.6954061119153316
4,0.4378323393716547,0.6243513258693019,0.7011349424808586
3,0.48457734998497004,0.5707308978279895,0.6066713586172015
2,0.5150738315350372,0.5679226525798716,0.5680018548935641
1,0.4907355350618999,0.5479071404168792,0.5374098586361813
