num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.5809999999999998,0.859,0.8379999999999999
13,0.58105,0.8266,0.77385
12,0.5786499999999999,0.7504500000000001,0.7519500000000001
11,0.5758,0.7749499999999999,0.78265
10,0.57575,0.67215,0.6961
9,0.5796500000000001,0.6843,0.66855
8,0.58025,0.6509499999999999,0.6366
7,0.5757000000000001,0.64955,0.68435
6,0.5798499999999999,0.59765,0.6602500000000001
5,0.5758,0.6207500000000001,0.6689
4,0.5829,0.6204000000000001,0.6687000000000001
3,0.5796,0.5908000000000001,0.6146
2,0.57955,0.58335,0.60845
1,0.5795000000000001,0.583,0.5964500000000001
