num_features,NeuralNetwork,TeacherStudents,DAE,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
65,0.9982801751094433,0.9970293933708568,0.9929643527204505,0.9917135709818636,0.9959349593495934,0.9963258286429019,0.9943714821763601,0.9976547842401502
64,0.9955050031269543,0.9946685428392747,0.9921200750469042,0.989618511569731,0.9948717948717949,0.996138211382114,0.9908536585365854,0.9960600375234524
63,0.995301751094434,0.9949656035021889,0.9928236397748593,0.9902126328955598,0.9922842401500939,0.9931754221388369,0.9898373983739838,0.9963570981863665
62,0.9944340212632896,0.9907598499061916,0.9926672920575361,0.9905722326454034,0.994824890556598,0.9897123202001252,0.9873905565978737,0.9907285803627266
61,0.9943871169480925,0.9909161976235147,0.9923076923076923,0.9868042526579112,0.991072545340838,0.9935506566604128,0.9916041275797373,0.9922764227642276
60,0.989196372732958,0.9899937460913073,0.9916197623514698,0.9876876172607879,0.9909943714821763,0.9922217010631644,0.9862570356472794,0.9937460913070668
59,0.9675031269543466,0.9918542839274547,0.9910100062539087,0.9858505315822388,0.9880550343964979,0.9885162601626016,0.9842714196372733,0.995434646654159
58,0.9649155722326455,0.9895559724828018,0.9913696060037523,0.9880393996247653,0.9827704815509695,0.9805425265791119,0.9846935584740464,0.9896497811131958
57,0.950046904315197,0.985334584115072,0.9921200750469042,0.9863352095059413,0.9885397123202001,0.9876172607879925,0.9800969355847405,0.991729205753596
56,0.9719824890556599,0.989618511569731,0.9914634146341463,0.9867651657285805,0.9795497185741088,0.9822467166979363,0.9823483427141964,0.9897904940587867
55,0.9633442776735459,0.9901188242651658,0.9891181988742964,0.9845841150719199,0.9890165728580362,0.9866400875547218,0.9808161350844278,0.9833958724202627
54,0.9869527829893683,0.9810193871169481,0.9901500938086304,0.9846622889305816,0.9835287679799876,0.9786350844277674,0.9705909943714822,0.986225766103815
53,0.9536898061288305,0.9843808630393995,0.9898843026891807,0.983317698561601,0.9824812382739212,0.9889931207004379,0.97406191369606,0.9801751094434021
52,0.961984052532833,0.9840525328330205,0.9894465290806753,0.9800422138836774,0.9768214509068167,0.9817464040025013,0.9835600375234522,0.9797529706066292
51,0.9802063789868667,0.9866010006253909,0.991213258286429,0.9810428392745466,0.9792057535959975,0.9800031269543465,0.9684803001876172,0.9823639774859287
