num_features,CompleteRandomForest,XGB,DenoisingGraphEncoder,DAE,RandomForest,AdaBoost,LGBM
19,0.9319371727748692,0.9319371727748692,0.8429319371727748,0.8743455497382199,0.9267015706806282,0.8743455497382199,0.9162303664921467
18,0.9261780104712042,0.8984293193717278,0.8335078534031414,0.8549738219895288,0.9146596858638742,0.8664921465968586,0.8968586387434554
17,0.9167539267015707,0.8680628272251308,0.8345549738219896,0.8528795811518325,0.9,0.8544502617801047,0.8738219895287959
16,0.8958115183246074,0.8178010471204189,0.8214659685863875,0.8565445026178009,0.8916230366492147,0.8429319371727748,0.8261780104712042
15,0.8937172774869111,0.7989528795811518,0.8293193717277487,0.8471204188481675,0.8591623036649214,0.8073298429319371,0.8424083769633508
14,0.8727748691099476,0.8089005235602095,0.8230366492146597,0.8424083769633508,0.8659685863874346,0.8240837696335079,0.7979057591623036
13,0.8507853403141361,0.7,0.8261780104712042,0.824607329842932,0.83717277486911,0.7591623036649215,0.8094240837696335
12,0.8481675392670157,0.7455497382198952,0.8130890052356021,0.8272251308900523,0.8282722513089006,0.7591623036649214,0.7701570680628271
11,0.831937172774869,0.6460732984293194,0.7884816753926701,0.8214659685863875,0.7926701570680629,0.794240837696335,0.750261780104712
10,0.8146596858638743,0.6141361256544503,0.8277486910994764,0.8240837696335079,0.7890052356020942,0.7575916230366492,0.7523560209424085
9,0.7853403141361257,0.7109947643979058,0.8151832460732985,0.8073298429319372,0.7602094240837696,0.7083769633507854,0.6497382198952881
8,0.794240837696335,0.5863874345549738,0.7884816753926701,0.7963350785340314,0.7371727748691099,0.7099476439790575,0.6293193717277487
7,0.7209424083769633,0.6073298429319371,0.7743455497382199,0.7853403141361256,0.7047120418848168,0.6277486910994765,0.6858638743455497
6,0.7209424083769634,0.5450261780104712,0.7596858638743456,0.762303664921466,0.6764397905759163,0.6429319371727749,0.555497382198953
5,0.7036649214659686,0.5617801047120419,0.7151832460732984,0.7607329842931937,0.7052356020942409,0.6602094240837696,0.599476439790576
4,0.6502617801047121,0.581675392670157,0.705759162303665,0.7345549738219895,0.6633507853403142,0.5795811518324607,0.5167539267015707
3,0.606806282722513,0.5350785340314136,0.6219895287958115,0.7460732984293192,0.6476439790575916,0.5507853403141361,0.5020942408376963
2,0.6706806282722513,0.5340314136125655,0.593717277486911,0.6361256544502618,0.5890052356020943,0.5727748691099477,0.4659685863874346
1,0.5581151832460732,0.5340314136125655,0.6230366492146597,0.6952879581151832,0.5806282722513089,0.5335078534031413,0.4659685863874346
