num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.3677746642286689,0.9378935781170566,0.9287582610406859
13,0.3712991870152019,0.919929555666705,0.8681739820265992
12,0.41606526427130647,0.8020328207251678,0.8257594315256073
11,0.42005921095787074,0.7263671202381148,0.8288747458141327
10,0.44253395636202625,0.7853475684251955,0.7612206661309632
9,0.47532670058544746,0.7329624747864018,0.8196012664195871
8,0.4188965156037324,0.7014753029731546,0.7352321085947622
7,0.4712353843126322,0.7207142520375868,0.6885664532052018
6,0.45993139031469854,0.604593640843569,0.6496470608734154
5,0.4863419681365716,0.5884250110693845,0.7564359246625888
4,0.49835440274520737,0.5947515743124682,0.6708105454336739
3,0.5040319720723528,0.583235673346562,0.6092636911887699
2,0.4972708329916856,0.6089183366404828,0.5728546405319864
1,0.54188122140409,0.5242318564587809,0.5293111153019893
