RandomForest,AdaBoost,XGB,features_amounts
0.8442140107225973,0.8054230686552796,0.8115324454854569,24
0.8414492319076002,0.7996298134029867,0.8017350290206569,23
0.8382254695999338,0.7848932664193443,0.7974823352279853,22
0.8343465220949167,0.7875344711443238,0.7941065473015623,21
0.8336536579781819,0.7947547445308355,0.7813183282036146,20
0.8239944518386713,0.7850453555355428,0.7954001037900269,19
0.8107104644398916,0.7729243935327708,0.7728097328190403,18
0.8003398440467336,0.7553817608403763,0.7745411180032817,17
0.807895465846363,0.7712415719939922,0.7584635514300986,16
0.789644356872755,0.7438515358589965,0.7633020190904551,15
0.7939312365730833,0.7546712537191382,0.752613388244421,14
0.783343046294154,0.7370715162335383,0.7240429515703243,13
0.7788996061005786,0.7342437049388622,0.7140534165049445,12
0.7745420512770177,0.7136812265094518,0.7444395752615018,11
0.748158689139449,0.6992663264283999,0.6913770525199304,10
0.7647301232274402,0.6893784605709872,0.7048384848078815,9
0.7473717754061809,0.682789752130905,0.7001637613043791,8
0.7229527373858474,0.6333806106288964,0.6776216777140456,7
0.7161709187284344,0.6389649414070907,0.6422927394407052,6
0.6732647225750192,0.6459905315910398,0.6213103244679197,5
0.6482578769691273,0.6196687274909853,0.6310673615786886,4
0.6452607386133977,0.5988699242415683,0.5710237544082272,3
0.6117184801595748,0.5692472813018823,0.574375712904785,2
0.5493156600594699,0.5298846211572281,0.5183177520739829,1
