num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression
11,0.8692810457516341,0.8431372549019608,0.8954248366013072,0.9150326797385621,0.8235294117647058
10,0.8359477124183007,0.8359477124183007,0.8673202614379086,0.8986928104575164,0.8183006535947712
9,0.8549019607843139,0.8346405228758169,0.8522875816993464,0.8372549019607843,0.8104575163398693
8,0.8163398692810457,0.7954248366013073,0.7908496732026145,0.8333333333333334,0.807843137254902
7,0.8294117647058824,0.7901960784313725,0.7300653594771243,0.733986928104575,0.8006535947712419
6,0.7954248366013071,0.7777777777777777,0.7,0.711111111111111,0.7862745098039216
5,0.7869281045751634,0.7326797385620915,0.5294117647058824,0.5869281045751634,0.781045751633987
4,0.7032679738562091,0.6745098039215686,0.5189542483660131,0.5562091503267974,0.7516339869281046
3,0.7366013071895425,0.662091503267974,0.46405228758169936,0.47058823529411764,0.7483660130718954
2,0.6215686274509803,0.6372549019607844,0.45882352941176474,0.47058823529411764,0.6562091503267975
1,0.5601307189542484,0.5084967320261438,0.45751633986928103,0.45751633986928103,0.6457516339869281
