num_features,DenoisingGraphEncoder
50,0.8333272120036825
49,0.8452234040469335
48,0.8538318299347711
47,0.8526069518716579
46,0.8526122774284539
45,0.8573508599243892
44,0.8812722816399287
43,0.8686766664707841
42,0.8778590282266754
41,0.8530232022879083
40,0.8844919786096256
39,0.8806597813950756
38,0.8686816859610976
37,0.8757930182562536
36,0.8734035572270866
35,0.8831569166127989
34,0.8746297207694267
33,0.8707716303304538
32,0.8485269020195492
31,0.8793408797085267
30,0.8554252120428592
29,0.8588147146970677
28,0.8749651084209908
27,0.8802463467904644
26,0.8613685946406534
25,0.8041189202953909
24,0.8722138155961685
23,0.8650861393508451
22,0.8603504338798457
21,0.8119972551957846
20,0.801627416700946
19,0.8224745842392901
18,0.8043276576364811
17,0.8369381843646551
16,0.7896809073279661
15,0.8493768486415545
14,0.7617842941372353
13,0.7934260592348827
12,0.7136915168165168
11,0.7655181827975946
10,0.7866182224638107
9,0.7524603460265223
8,0.7474417126990656
7,0.7580030263853794
6,0.7493296531899474
5,0.6394730881863235
4,0.7026938747526982
3,0.626048951048951
2,0.6579028814322931
1,0.5688285978727154
