num_features,DenoisingGraphEncoder
50,0.8154999999999999
49,0.8182
48,0.82035
47,0.8196
46,0.8223
45,0.8204499999999999
44,0.825
43,0.821
42,0.8284
41,0.8149000000000001
40,0.8316000000000001
39,0.82595
38,0.8214500000000001
37,0.82645
36,0.82675
35,0.8322999999999998
34,0.82005
33,0.825
32,0.80695
31,0.8299
30,0.8128
29,0.8130499999999999
28,0.8259500000000001
27,0.8297000000000001
26,0.8228500000000001
25,0.8032999999999999
24,0.8276999999999999
23,0.8131
22,0.82155
21,0.7968999999999999
20,0.7915
19,0.79945
18,0.7782500000000001
17,0.80395
16,0.78345
15,0.8199
14,0.76665
13,0.7855
12,0.7541
11,0.7744000000000002
10,0.78285
9,0.7574
8,0.7601000000000001
7,0.7609
6,0.7643
5,0.7252000000000001
4,0.73975
3,0.7418000000000001
2,0.7396499999999999
1,0.7199
