num_features,3,5,10,20,30,50,64
65,0.7109375,0.7265625,0.6796875,0.65625,0.640625,0.734375,0.734375
64,0.71796875,0.728125,0.68671875,0.67578125,0.64765625,0.71640625,0.73125
63,0.709375,0.72109375,0.69296875,0.66484375,0.6546875,0.71015625,0.7203125
62,0.71640625,0.72734375,0.6984375,0.675,0.64765625,0.7171875,0.71875
61,0.71640625,0.7203125,0.6890625,0.6671875,0.653125,0.71328125,0.71484375
60,0.70703125,0.73125,0.67578125,0.665625,0.6546875,0.7140625,0.7140625
59,0.709375,0.740625,0.68671875,0.6578125,0.665625,0.69921875,0.71640625
58,0.6984375,0.7234375,0.69609375,0.67265625,0.6578125,0.715625,0.72578125
57,0.7140625,0.7296875,0.6875,0.6609375,0.65390625,0.690625,0.703125
56,0.73125,0.72109375,0.690625,0.66953125,0.6625,0.70703125,0.721875
55,0.7140625,0.73125,0.68203125,0.67890625,0.65859375,0.6984375,0.734375
54,0.70078125,0.73046875,0.684375,0.671875,0.6640625,0.7,0.73203125
53,0.69140625,0.7375,0.66640625,0.67890625,0.659375,0.71171875,0.715625
52,0.71015625,0.75234375,0.6734375,0.6671875,0.640625,0.703125,0.7140625
51,0.7171875,0.71953125,0.6859375,0.6765625,0.6578125,0.68203125,0.71875
50,0.69921875,0.72890625,0.69375,0.68046875,0.67265625,0.70234375,0.73359375
49,0.7015625,0.7234375,0.68984375,0.68046875,0.66953125,0.6875,0.7109375
48,0.7,0.71484375,0.70625,0.65390625,0.653125,0.70390625,0.7296875
47,0.71015625,0.70625,0.67578125,0.68203125,0.640625,0.70859375,0.734375
46,0.69609375,0.7359375,0.68828125,0.678125,0.6546875,0.70078125,0.721875
45,0.709375,0.7046875,0.6796875,0.67734375,0.66171875,0.678125,0.72734375
44,0.68828125,0.71875,0.68984375,0.671875,0.66484375,0.69765625,0.71015625
43,0.70625,0.725,0.66796875,0.67578125,0.67890625,0.68984375,0.71328125
42,0.6984375,0.71953125,0.67890625,0.6734375,0.659375,0.69140625,0.6984375
41,0.69453125,0.7171875,0.696875,0.6765625,0.67109375,0.70078125,0.71015625
40,0.6921875,0.7015625,0.65546875,0.6609375,0.66484375,0.68828125,0.69296875
39,0.70546875,0.71328125,0.67578125,0.68046875,0.66796875,0.7,0.73828125
38,0.7171875,0.71796875,0.67890625,0.66796875,0.65625,0.68828125,0.68828125
37,0.70234375,0.71484375,0.6890625,0.67578125,0.6453125,0.67265625,0.7046875
36,0.70078125,0.72578125,0.66953125,0.68671875,0.69609375,0.65859375,0.69765625
35,0.725,0.71640625,0.68203125,0.671875,0.68203125,0.7,0.696875
34,0.70078125,0.70625,0.66328125,0.6640625,0.68671875,0.68984375,0.70234375
33,0.7125,0.7015625,0.68828125,0.69453125,0.675,0.6671875,0.71328125
32,0.68984375,0.6859375,0.66953125,0.678125,0.684375,0.65,0.6921875
31,0.69453125,0.734375,0.659375,0.68203125,0.68203125,0.6765625,0.70859375
30,0.68359375,0.725,0.67421875,0.68046875,0.69296875,0.69765625,0.6984375
29,0.67890625,0.71796875,0.67421875,0.7078125,0.68359375,0.65234375,0.6875
28,0.69375,0.71328125,0.68671875,0.68515625,0.65625,0.67734375,0.70859375
27,0.6890625,0.71640625,0.66953125,0.696875,0.659375,0.68828125,0.71015625
26,0.68359375,0.7015625,0.6671875,0.69609375,0.684375,0.6859375,0.68125
25,0.6765625,0.72421875,0.696875,0.71796875,0.67265625,0.67734375,0.70546875
24,0.70703125,0.69765625,0.653125,0.69375,0.66171875,0.6515625,0.65
23,0.73984375,0.71796875,0.6703125,0.70390625,0.69140625,0.690625,0.68828125
22,0.68671875,0.734375,0.68125,0.70859375,0.71328125,0.70078125,0.653125
21,0.71015625,0.71796875,0.6671875,0.7046875,0.68984375,0.68984375,0.6609375
20,0.70390625,0.715625,0.65625,0.6828125,0.70546875,0.68359375,0.7015625
19,0.71796875,0.73515625,0.7203125,0.72109375,0.703125,0.640625,0.7140625
18,0.68046875,0.71015625,0.68515625,0.69609375,0.6984375,0.6734375,0.6984375
17,0.71640625,0.7203125,0.67890625,0.715625,0.71796875,0.64921875,0.70546875
16,0.678125,0.725,0.6875,0.70546875,0.740625,0.68359375,0.6875
15,0.7140625,0.725,0.7046875,0.70625,0.7109375,0.6921875,0.69375
14,0.6984375,0.73046875,0.7046875,0.70859375,0.7140625,0.69765625,0.7140625
13,0.7171875,0.75390625,0.70703125,0.740625,0.725,0.69765625,0.70078125
12,0.72421875,0.7390625,0.69765625,0.696875,0.73515625,0.71640625,0.7015625
11,0.734375,0.728125,0.7046875,0.71015625,0.71953125,0.72265625,0.69921875
10,0.7046875,0.7265625,0.70703125,0.7328125,0.725,0.71875,0.703125
9,0.70703125,0.72109375,0.72578125,0.7375,0.73984375,0.709375,0.7078125
8,0.72421875,0.753125,0.73046875,0.7375,0.7453125,0.7484375,0.71796875
7,0.71875,0.75390625,0.71796875,0.74375,0.73828125,0.73515625,0.721875
6,0.75859375,0.76171875,0.734375,0.740625,0.75078125,0.73984375,0.73984375
5,0.7578125,0.74765625,0.74453125,0.7359375,0.75625,0.73671875,0.7265625
4,0.76015625,0.76015625,0.76328125,0.75703125,0.75859375,0.7453125,0.74921875
3,0.7578125,0.75546875,0.75234375,0.7390625,0.7625,0.7578125,0.74296875
2,0.75703125,0.75234375,0.759375,0.7640625,0.76484375,0.7625,0.75703125
1,0.765625,0.7640625,0.765625,0.76484375,0.765625,0.765625,0.765625
