num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.3861226327192943,0.9423305630779742,0.9332674987909492
13,0.4533457499713579,0.9116579861727183,0.8957186424971434
12,0.45185991031226463,0.8695619333050123,0.8819075322084009
11,0.5237772872856533,0.8122090294035047,0.8443780916972436
10,0.4916076673584701,0.7574742652165491,0.8306881906416942
9,0.528561680849144,0.7393801245246174,0.8110405845620703
8,0.5445957715162865,0.699830073881362,0.786857745680622
7,0.6031990923755285,0.7070637963076554,0.7482648981913412
6,0.5790157465545858,0.7338294919148219,0.7370698491652228
5,0.523676913265694,0.6760995264171241,0.7200726748459664
4,0.5430404811464132,0.690113412503764,0.6913158222913462
3,0.515423076494128,0.6217250948230324,0.670939034442483
2,0.6150363830475378,0.5660922366271895,0.6020835720173454
1,0.5440057446383544,0.5246588043730628,0.5621678659165313
