num_features,WeightedGradientBoostingClassifier,CompleteGradientBoostingClassifier,LGBM
14,0.559,0.8699999999999999,0.861
13,0.56,0.8233499999999999,0.80885
12,0.5589000000000001,0.7722,0.7796000000000001
11,0.5593000000000001,0.74165,0.74985
10,0.5564,0.7199,0.7300000000000001
9,0.5579,0.6790499999999999,0.7095
8,0.5639000000000001,0.6545,0.69885
7,0.5775,0.66275,0.6781500000000001
6,0.5762,0.6585000000000001,0.6665
5,0.5386500000000001,0.6324500000000001,0.6635500000000001
4,0.5564500000000001,0.6513000000000001,0.64285
3,0.5438500000000002,0.5945499999999999,0.6158
2,0.5791999999999999,0.5814,0.5769
1,0.55795,0.5699500000000001,0.57725
