num_features,RandomForest,AdaBoost,LGBM,XGB,LogisticRegression,DAE
22,0.913888888888889,0.8583333333333334,0.8979166666666668,0.9055555555555556,0.9,0.9034722222222221
21,0.9071527777777778,0.8600000000000001,0.8995138888888891,0.899236111111111,0.8997916666666667,0.9054166666666668
20,0.9042361111111111,0.8590277777777778,0.8971527777777778,0.8931250000000002,0.9029166666666667,0.9040972222222223
19,0.9071527777777778,0.8617013888888889,0.8875694444444443,0.8824305555555556,0.8954166666666665,0.8939583333333332
18,0.8968749999999999,0.8669444444444444,0.8725000000000002,0.8880555555555555,0.8936805555555555,0.8980902777777777
17,0.8954166666666665,0.8588194444444446,0.8769444444444445,0.8890972222222222,0.8916666666666666,0.8845833333333333
16,0.9019444444444444,0.8677083333333334,0.8715972222222221,0.8785763888888889,0.8852083333333335,0.9018749999999999
15,0.882013888888889,0.8616319444444445,0.8722222222222223,0.8760763888888888,0.8959722222222222,0.9039583333333333
14,0.8854166666666666,0.8578472222222222,0.8558680555555556,0.8771527777777777,0.8744444444444444,0.890625
13,0.8834722222222222,0.8414930555555555,0.8444444444444444,0.8365277777777778,0.8603472222222223,0.8917708333333334
12,0.8718055555555557,0.8519791666666666,0.8570833333333333,0.8451041666666667,0.8575694444444446,0.8777430555555557
11,0.8587152777777778,0.8280902777777778,0.8536458333333334,0.8454166666666667,0.8624652777777777,0.8745486111111112
10,0.8455555555555556,0.8480902777777777,0.8283680555555556,0.8478472222222221,0.8512152777777778,0.8803472222222224
9,0.8332986111111111,0.8215972222222222,0.8440277777777778,0.8226041666666667,0.8305555555555557,0.867326388888889
8,0.8287152777777778,0.8434375,0.7865624999999999,0.8017361111111112,0.8284027777777778,0.8643402777777778
7,0.7832986111111111,0.8345833333333333,0.7720486111111111,0.8259375,0.8244097222222223,0.8052777777777779
6,0.8497569444444446,0.7839583333333334,0.7846875,0.7780902777777778,0.8180902777777778,0.8328472222222223
5,0.8390625,0.7817708333333333,0.7462499999999999,0.7761458333333333,0.7844097222222223,0.7976736111111111
4,0.8139930555555555,0.7644791666666667,0.7294791666666667,0.7601041666666667,0.7748611111111111,0.7994097222222223
3,0.7387152777777778,0.7299305555555556,0.64625,0.7338194444444446,0.7699305555555556,0.7660416666666666
2,0.7041319444444445,0.6870833333333334,0.5450347222222223,0.6338888888888887,0.6533333333333333,0.7300694444444444
1,0.6428819444444445,0.6115625,0.5558333333333334,0.5515277777777777,0.6081944444444444,0.6105902777777777
