num_features,DenoisingGraphEncoder
36,0.5595
35,0.55655
34,0.55705
33,0.55215
32,0.5559499999999999
31,0.5575000000000001
30,0.55345
29,0.55215
28,0.5536000000000001
27,0.5564
26,0.5508
25,0.5544499999999999
24,0.5523
23,0.5478500000000001
22,0.5528500000000001
21,0.5510499999999999
20,0.5521499999999999
19,0.54775
18,0.5494500000000001
17,0.5470499999999999
16,0.54625
15,0.5506000000000001
14,0.5501500000000001
13,0.5469999999999999
12,0.5484500000000001
11,0.55
10,0.5494000000000001
9,0.5466
8,0.5458500000000001
7,0.5449999999999999
6,0.5467500000000001
5,0.54665
4,0.5505
3,0.5452999999999999
2,0.5393999999999999
1,0.54425
