num_features,DenoisingGraphEncoder
36,0.5578977577064027
35,0.5553533511339576
34,0.5565245306657278
33,0.5520847308370093
32,0.5558308308560742
31,0.5588952853227566
30,0.5510685418181855
29,0.5476677786172607
28,0.5513118965936383
27,0.5552037068606376
26,0.5508034994668891
25,0.5556189482837057
24,0.5516045275588566
23,0.5448170728631938
22,0.5491871698318759
21,0.5534605805612743
20,0.5442920822191131
19,0.5277878874384552
18,0.5353623993923444
17,0.5360264427029378
16,0.5333878717023537
15,0.5345973827635218
14,0.5352098298180966
13,0.539330923154362
12,0.5348555657885049
11,0.5398171787792617
10,0.5357351230795148
9,0.5283246297224696
8,0.5381962594479655
7,0.528988219107057
6,0.5262622925684243
5,0.5252799966913838
4,0.5376609293781919
3,0.5165677444215014
2,0.5199445504165527
1,0.5071526129493994
