num_features,MeanGradientBoostingClassifier,GAT,GCN,DenoisingGraphEncoder,CompleteRandomForest,CompleteGradientBoostingClassifier,XGB,RandomForest,AdaBoost,LGBM
11,0.9992526158445442,0.977057384054382,0.8874571980787005,0.9802041464940328,1.0,1.0,1.0,1.0,1.0,0.9999988769584439
10,0.8963960473429399,0.9624064085243347,0.8624041624412226,0.962190110720667,0.8733218109269698,1.0,0.9918399800547819,1.0,1.0,0.9999979785251991
9,0.8471097964037962,0.967630124017479,0.8698895151717299,0.9811446937971047,0.9362456046961107,0.9063611319809667,0.9999979785251994,0.9380699857036809,0.85,0.9555714653109308
8,0.6964660689839507,0.9304185912791331,0.8573645134590915,0.9115562099144355,0.863426916386187,1.0,0.9473851661933048,0.8811564295813639,0.95,0.9396082718748842
7,0.8037975088692206,0.9100230335823116,0.8013172715930008,0.9353825472603962,0.8971643200713355,0.9542834489504616,0.9140116279722699,0.9146233487077721,0.75,0.9091243195771973
6,0.6519446026061303,0.8748778411547562,0.785396360671534,0.9183851448555153,0.663102918897308,0.7649280298818898,0.9783416382256392,0.7612543363442078,0.6,0.9235397932929713
5,0.6592266848150181,0.9329331374748862,0.7648485746918093,0.8797595343420493,0.7627539898858878,0.8541553660610104,0.8766461262366091,0.8001336980972308,0.8,0.8116876057764767
4,0.6079815124899066,0.8058343693391687,0.8153394000038183,0.8237758566280228,0.7318241900905059,0.7628699439265352,0.8051987839706033,0.8351267183939608,0.85,0.8243414203555774
3,0.6967693463561233,0.7405784113229542,0.690428092210696,0.7101141684045735,0.6366308641018644,0.6607922608960299,0.7546014943190943,0.7240726765112488,0.5,0.623879513363633
2,0.6003259066595242,0.7362946254600259,0.6146058854115779,0.6659999168949249,0.6362716592602077,0.61079226089603,0.6782215289312351,0.6620975720964603,0.65,0.7249479189478448
1,0.6012971129970722,0.5158832328772662,0.5776783698827208,0.6259184514604594,0.5375101494880615,0.6070602253495186,0.7073319452539703,0.5481385024690069,0.6,0.666317849959402
